  cluster  E_norm [Eh]  De [kcal]    p
     1   -144.353438     0.0000   1.0000
     2   -144.344010     5.9162   0.0000
     3   -144.337540     9.9761   0.0000
     4   -144.336847     ******   0.0000
     5   -144.336161     ******   0.0000
     6   -144.335580     ******   0.0000
     7   -144.334775     ******   0.0000
     8   -144.333896     ******   0.0000
     9   -144.333578     ******   0.0000
     10  -144.332110     ******   0.0000
     11  -144.331983     ******   0.0000
     12  -144.331928     ******   0.0000
     13  -144.331914     ******   0.0000
     14  -144.331796     ******   0.0000
     15  -144.331716     ******   0.0000
     16  -144.331569     ******   0.0000
     17  -144.331032     ******   0.0000
     18  -144.330795     ******   0.0000
     19  -144.330367     ******   0.0000
     20  -144.330354     ******   0.0000
     21  -144.330219     ******   0.0000
     22  -144.330110     ******   0.0000
     23  -144.329976     ******   0.0000
     24  -144.329969     ******   0.0000
     25  -144.329767     ******   0.0000
     26  -144.329742     ******   0.0000
     27  -144.329714     ******   0.0000
     28  -144.329443     ******   0.0000
     29  -144.329428     ******   0.0000
     30  -144.329386     ******   0.0000
     31  -144.329229     ******   0.0000
     32  -144.329039     ******   0.0000
     33  -144.328838     ******   0.0000
     34  -144.328621     ******   0.0000
     35  -144.328555     ******   0.0000
     36  -144.328461     ******   0.0000
     37  -144.328447     ******   0.0000
     38  -144.328431     ******   0.0000
     39  -144.328382     ******   0.0000
     40  -144.328347     ******   0.0000
     41  -144.328054     ******   0.0000
     42  -144.328054     ******   0.0000
     43  -144.327768     ******   0.0000
     44  -144.327766     ******   0.0000
     45  -144.327713     ******   0.0000
     46  -144.327622     ******   0.0000
     47  -144.327514     ******   0.0000
     48  -144.327401     ******   0.0000
     49  -144.327289     ******   0.0000
     50  -144.327176     ******   0.0000
     51  -144.327068     ******   0.0000
     52  -144.327067     ******   0.0000
     53  -144.326929     ******   0.0000
     54  -144.326800     ******   0.0000
     55  -144.326726     ******   0.0000
     56  -144.326716     ******   0.0000
     57  -144.326610     ******   0.0000
     58  -144.326530     ******   0.0000
     59  -144.326411     ******   0.0000
     60  -144.326274     ******   0.0000
     61  -144.326169     ******   0.0000
     62  -144.325869     ******   0.0000
     63  -144.325862     ******   0.0000
     64  -144.325831     ******   0.0000
     65  -144.325809     ******   0.0000
     66  -144.325476     ******   0.0000
     67  -144.325451     ******   0.0000
     68  -144.325386     ******   0.0000
     69  -144.325122     ******   0.0000
     70  -144.325034     ******   0.0000
     71  -144.324999     ******   0.0000
     72  -144.324944     ******   0.0000
     73  -144.324778     ******   0.0000
     74  -144.324420     ******   0.0000
     75  -144.324329     ******   0.0000
     76  -144.324216     ******   0.0000
     77  -144.324114     ******   0.0000
     78  -144.324078     ******   0.0000
     79  -144.324029     ******   0.0000
     80  -144.324009     ******   0.0000
     81  -144.323936     ******   0.0000
     82  -144.323901     ******   0.0000
     83  -144.323853     ******   0.0000
     84  -144.323722     ******   0.0000
     85  -144.323682     ******   0.0000
     86  -144.323670     ******   0.0000
     87  -144.323602     ******   0.0000
     88  -144.323573     ******   0.0000
     89  -144.322842     ******   0.0000
     90  -144.322826     ******   0.0000
     91  -144.322797     ******   0.0000
     92  -144.322732     ******   0.0000
     93  -144.322656     ******   0.0000
     94  -144.322651     ******   0.0000
     95  -144.322646     ******   0.0000
     96  -144.322540     ******   0.0000
     97  -144.322526     ******   0.0000
     98  -144.322431     ******   0.0000
     99  -144.322323     ******   0.0000
     100  -144.322169     ******   0.0000
     101  -144.322147     ******   0.0000
     102  -144.322081     ******   0.0000
     103  -144.321916     ******   0.0000
     104  -144.321890     ******   0.0000
     105  -144.321756     ******   0.0000
     106  -144.321664     ******   0.0000
     107  -144.321567     ******   0.0000
     108  -144.321458     ******   0.0000
     109  -144.321264     ******   0.0000
     110  -144.321178     ******   0.0000
     111  -144.321123     ******   0.0000
     112  -144.321030     ******   0.0000
     113  -144.320833     ******   0.0000
     114  -144.320620     ******   0.0000
     115  -144.320570     ******   0.0000
     116  -144.320375     ******   0.0000
     117  -144.320302     ******   0.0000
     118  -144.320111     ******   0.0000
     119  -144.319957     ******   0.0000
     120  -144.319864     ******   0.0000
     121  -144.319863     ******   0.0000
     122  -144.319848     ******   0.0000
     123  -144.319690     ******   0.0000
     124  -144.319652     ******   0.0000
     125  -144.319371     ******   0.0000
     126  -144.319320     ******   0.0000
     127  -144.319186     ******   0.0000
     128  -144.319049     ******   0.0000
     129  -144.318903     ******   0.0000
     130  -144.318898     ******   0.0000
     131  -144.318698     ******   0.0000
     132  -144.318598     ******   0.0000
     133  -144.318537     ******   0.0000
     134  -144.318429     ******   0.0000
     135  -144.318154     ******   0.0000
     136  -144.318097     ******   0.0000
     137  -144.318009     ******   0.0000
     138  -144.317680     ******   0.0000
     139  -144.317454     ******   0.0000
     140  -144.317282     ******   0.0000
     141  -144.316649     ******   0.0000
     142  -144.316587     ******   0.0000
     143  -144.316254     ******   0.0000
     144  -144.316207     ******   0.0000
     145  -144.316049     ******   0.0000
     146  -144.315895     ******   0.0000
     147  -144.314947     ******   0.0000
     148  -144.314442     ******   0.0000
     149  -144.314344     ******   0.0000
     150  -144.314209     ******   0.0000
     151  -144.313396     ******   0.0000
     152  -144.312878     ******   0.0000
     153  -144.312152     ******   0.0000
     154  -144.311826     ******   0.0000
     155  -144.311790     ******   0.0000
     156  -144.311575     ******   0.0000
     157  -144.311394     ******   0.0000
