  cluster  E_norm [Eh]  De [kcal]    p
     1   -149.932690     0.0000   0.6044
     2   -149.932279     0.2575   0.3913
     3   -149.927263     3.4054   0.0019
     4   -149.925780     4.3362   0.0004
     5   -149.925433     4.5537   0.0003
     6   -149.925245     4.6717   0.0002
     7   -149.925153     4.7292   0.0002
     8   -149.924922     4.8745   0.0002
     9   -149.924796     4.9534   0.0001
     10  -149.924614     5.0674   0.0001
     11  -149.924331     5.2454   0.0001
     12  -149.924204     5.3247   0.0001
     13  -149.924119     5.3784   0.0001
     14  -149.923934     5.4946   0.0001
     15  -149.923839     5.5541   0.0001
     16  -149.923811     5.5718   0.0000
     17  -149.923672     5.6591   0.0000
     18  -149.923571     5.7222   0.0000
     19  -149.923102     6.0162   0.0000
     20  -149.922962     6.1043   0.0000
     21  -149.922918     6.1320   0.0000
     22  -149.922860     6.1685   0.0000
     23  -149.922838     6.1819   0.0000
     24  -149.922820     6.1935   0.0000
     25  -149.922797     6.2078   0.0000
     26  -149.922791     6.2118   0.0000
     27  -149.922469     6.4134   0.0000
     28  -149.922458     6.4204   0.0000
     29  -149.922408     6.4518   0.0000
     30  -149.922406     6.4530   0.0000
     31  -149.922169     6.6020   0.0000
     32  -149.922031     6.6886   0.0000
     33  -149.922006     6.7042   0.0000
     34  -149.921991     6.7137   0.0000
     35  -149.921975     6.7237   0.0000
     36  -149.921951     6.7385   0.0000
     37  -149.921938     6.7467   0.0000
     38  -149.921868     6.7908   0.0000
     39  -149.921809     6.8277   0.0000
     40  -149.921718     6.8849   0.0000
     41  -149.921690     6.9027   0.0000
     42  -149.921471     7.0402   0.0000
     43  -149.921454     7.0505   0.0000
     44  -149.921396     7.0868   0.0000
     45  -149.921360     7.1098   0.0000
     46  -149.921095     7.2760   0.0000
     47  -149.921078     7.2862   0.0000
     48  -149.921017     7.3246   0.0000
     49  -149.920961     7.3597   0.0000
     50  -149.920788     7.4683   0.0000
     51  -149.920747     7.4944   0.0000
     52  -149.920617     7.5757   0.0000
     53  -149.920485     7.6586   0.0000
     54  -149.920482     7.6608   0.0000
     55  -149.920105     7.8974   0.0000
     56  -149.920100     7.9005   0.0000
     57  -149.919855     8.0538   0.0000
     58  -149.919714     8.1426   0.0000
     59  -149.919667     8.1720   0.0000
     60  -149.919609     8.2085   0.0000
     61  -149.919469     8.2965   0.0000
     62  -149.919421     8.3265   0.0000
     63  -149.919363     8.3626   0.0000
     64  -149.919241     8.4394   0.0000
     65  -149.919190     8.4714   0.0000
     66  -149.919070     8.5467   0.0000
     67  -149.919069     8.5471   0.0000
     68  -149.919053     8.5574   0.0000
     69  -149.919022     8.5767   0.0000
     70  -149.919001     8.5898   0.0000
     71  -149.918796     8.7186   0.0000
     72  -149.918711     8.7717   0.0000
     73  -149.918623     8.8271   0.0000
     74  -149.918099     9.1560   0.0000
     75  -149.917977     9.2323   0.0000
     76  -149.917801     9.3427   0.0000
     77  -149.917643     9.4417   0.0000
     78  -149.917328     9.6397   0.0000
     79  -149.917209     9.7146   0.0000
     80  -149.917207     9.7154   0.0000
     81  -149.917063     9.8062   0.0000
     82  -149.916795     9.9743   0.0000
     83  -149.916756     9.9989   0.0000
     84  -149.916581     ******   0.0000
     85  -149.916532     ******   0.0000
     86  -149.916461     ******   0.0000
     87  -149.916415     ******   0.0000
     88  -149.916366     ******   0.0000
     89  -149.916128     ******   0.0000
     90  -149.915791     ******   0.0000
     91  -149.915767     ******   0.0000
     92  -149.915732     ******   0.0000
     93  -149.915708     ******   0.0000
     94  -149.915566     ******   0.0000
     95  -149.915500     ******   0.0000
     96  -149.915425     ******   0.0000
     97  -149.915321     ******   0.0000
     98  -149.915224     ******   0.0000
     99  -149.915072     ******   0.0000
     100  -149.914895     ******   0.0000
     101  -149.914828     ******   0.0000
     102  -149.914762     ******   0.0000
     103  -149.914713     ******   0.0000
     104  -149.914674     ******   0.0000
     105  -149.914535     ******   0.0000
     106  -149.914500     ******   0.0000
     107  -149.914461     ******   0.0000
     108  -149.914358     ******   0.0000
     109  -149.914331     ******   0.0000
     110  -149.914243     ******   0.0000
     111  -149.914242     ******   0.0000
     112  -149.914010     ******   0.0000
     113  -149.913951     ******   0.0000
     114  -149.913785     ******   0.0000
     115  -149.913583     ******   0.0000
     116  -149.913434     ******   0.0000
     117  -149.913251     ******   0.0000
     118  -149.913161     ******   0.0000
     119  -149.912991     ******   0.0000
     120  -149.912808     ******   0.0000
     121  -149.912757     ******   0.0000
     122  -149.912708     ******   0.0000
     123  -149.912691     ******   0.0000
     124  -149.912606     ******   0.0000
     125  -149.912558     ******   0.0000
     126  -149.912337     ******   0.0000
     127  -149.912278     ******   0.0000
     128  -149.911959     ******   0.0000
     129  -149.911821     ******   0.0000
     130  -149.911742     ******   0.0000
     131  -149.911575     ******   0.0000
     132  -149.911473     ******   0.0000
     133  -149.911462     ******   0.0000
     134  -149.911451     ******   0.0000
     135  -149.911390     ******   0.0000
     136  -149.911349     ******   0.0000
     137  -149.911243     ******   0.0000
     138  -149.910979     ******   0.0000
     139  -149.910922     ******   0.0000
     140  -149.910826     ******   0.0000
     141  -149.910650     ******   0.0000
     142  -149.910290     ******   0.0000
     143  -149.910286     ******   0.0000
     144  -149.910098     ******   0.0000
     145  -149.909782     ******   0.0000
     146  -149.909751     ******   0.0000
     147  -149.909353     ******   0.0000
     148  -149.909017     ******   0.0000
     149  -149.908287     ******   0.0000
     150  -149.908286     ******   0.0000
     151  -149.908275     ******   0.0000
     152  -149.908118     ******   0.0000
     153  -149.907843     ******   0.0000
     154  -149.907799     ******   0.0000
     155  -149.907488     ******   0.0000
     156  -149.907264     ******   0.0000
     157  -149.906725     ******   0.0000
     158  -149.904717     ******   0.0000
