  cluster  E_norm [Eh]  De [kcal]    p
     1   -152.477518     0.0000   0.9287
     2   -152.473927     2.2537   0.0207
     3   -152.473716     2.3860   0.0166
     4   -152.473675     2.4119   0.0158
     5   -152.472676     3.0389   0.0055
     6   -152.472173     3.3543   0.0032
     7   -152.471964     3.4854   0.0026
     8   -152.471686     3.6602   0.0019
     9   -152.471607     3.7092   0.0018
     10  -152.470999     4.0907   0.0009
     11  -152.470874     4.1696   0.0008
     12  -152.470261     4.5540   0.0004
     13  -152.469064     5.3053   0.0001
     14  -152.469020     5.3328   0.0001
     15  -152.468943     5.3812   0.0001
     16  -152.468883     5.4185   0.0001
     17  -152.468770     5.4897   0.0001
     18  -152.468712     5.5261   0.0001
     19  -152.468408     5.7168   0.0001
     20  -152.468274     5.8008   0.0001
     21  -152.468080     5.9228   0.0000
     22  -152.467959     5.9983   0.0000
     23  -152.467864     6.0581   0.0000
     24  -152.467743     6.1338   0.0000
     25  -152.467732     6.1410   0.0000
     26  -152.467604     6.2212   0.0000
     27  -152.467405     6.3463   0.0000
     28  -152.467352     6.3793   0.0000
     29  -152.467039     6.5759   0.0000
     30  -152.467010     6.5939   0.0000
     31  -152.467008     6.5954   0.0000
     32  -152.466793     6.7301   0.0000
     33  -152.466778     6.7399   0.0000
     34  -152.466676     6.8039   0.0000
     35  -152.466568     6.8717   0.0000
     36  -152.466348     7.0095   0.0000
     37  -152.466250     7.0713   0.0000
     38  -152.466072     7.1827   0.0000
     39  -152.465701     7.4158   0.0000
     40  -152.465507     7.5373   0.0000
     41  -152.465456     7.5693   0.0000
     42  -152.465117     7.7820   0.0000
     43  -152.465049     7.8248   0.0000
     44  -152.464996     7.8578   0.0000
     45  -152.464948     7.8882   0.0000
     46  -152.464474     8.1853   0.0000
     47  -152.464435     8.2097   0.0000
     48  -152.463938     8.5220   0.0000
     49  -152.463871     8.5637   0.0000
     50  -152.463838     8.5848   0.0000
     51  -152.463745     8.6432   0.0000
     52  -152.463025     9.0946   0.0000
     53  -152.462950     9.1421   0.0000
     54  -152.462731     9.2794   0.0000
     55  -152.462680     9.3113   0.0000
     56  -152.462516     9.4139   0.0000
     57  -152.462477     9.4389   0.0000
     58  -152.462455     9.4523   0.0000
     59  -152.462451     9.4547   0.0000
     60  -152.462369     9.5066   0.0000
     61  -152.462229     9.5941   0.0000
     62  -152.462040     9.7127   0.0000
     63  -152.461983     9.7483   0.0000
     64  -152.461897     9.8027   0.0000
     65  -152.461824     9.8482   0.0000
     66  -152.461731     9.9065   0.0000
     67  -152.461691     9.9318   0.0000
     68  -152.461635     9.9672   0.0000
     69  -152.460974     ******   0.0000
     70  -152.460889     ******   0.0000
     71  -152.460815     ******   0.0000
     72  -152.460784     ******   0.0000
     73  -152.460276     ******   0.0000
     74  -152.460186     ******   0.0000
     75  -152.460087     ******   0.0000
     76  -152.459941     ******   0.0000
     77  -152.459788     ******   0.0000
     78  -152.459115     ******   0.0000
     79  -152.459036     ******   0.0000
     80  -152.458883     ******   0.0000
     81  -152.458805     ******   0.0000
     82  -152.458700     ******   0.0000
     83  -152.458636     ******   0.0000
     84  -152.458586     ******   0.0000
     85  -152.457475     ******   0.0000
     86  -152.456820     ******   0.0000
     87  -152.455764     ******   0.0000
     88  -152.455427     ******   0.0000
     89  -152.455255     ******   0.0000
     90  -152.455117     ******   0.0000
     91  -152.454829     ******   0.0000
     92  -152.454217     ******   0.0000
     93  -152.453931     ******   0.0000
     94  -152.453672     ******   0.0000
     95  -152.453474     ******   0.0000
     96  -152.451744     ******   0.0000
     97  -152.451687     ******   0.0000
     98  -152.451472     ******   0.0000
     99  -152.451447     ******   0.0000
     100  -152.450965     ******   0.0000
     101  -152.448812     ******   0.0000
     102  -152.446478     ******   0.0000
