  cluster  E_norm [Eh]  De [kcal]    p
     1   -147.393238     0.0000   0.5889
     2   -147.392055     0.7420   0.1683
     3   -147.392007     0.7724   0.1599
     4   -147.390756     1.5570   0.0425
     5   -147.390079     1.9821   0.0208
     6   -147.388838     2.7609   0.0056
     7   -147.387959     3.3122   0.0022
     8   -147.387826     3.3958   0.0019
     9   -147.387484     3.6101   0.0013
     10  -147.387368     3.6829   0.0012
     11  -147.387167     3.8090   0.0010
     12  -147.386946     3.9481   0.0008
     13  -147.386913     3.9687   0.0007
     14  -147.386783     4.0503   0.0006
     15  -147.386629     4.1467   0.0005
     16  -147.386277     4.3675   0.0004
     17  -147.386243     4.3891   0.0004
     18  -147.386163     4.4394   0.0003
     19  -147.386146     4.4498   0.0003
     20  -147.386105     4.4755   0.0003
     21  -147.385944     4.5768   0.0003
     22  -147.385901     4.6037   0.0002
     23  -147.385807     4.6626   0.0002
     24  -147.385663     4.7529   0.0002
     25  -147.385209     5.0377   0.0001
     26  -147.385110     5.1003   0.0001
     27  -147.385078     5.1202   0.0001
     28  -147.385019     5.1571   0.0001
     29  -147.384909     5.2261   0.0001
     30  -147.384856     5.2598   0.0001
     31  -147.384766     5.3158   0.0001
     32  -147.384753     5.3243   0.0001
     33  -147.384623     5.4057   0.0001
     34  -147.384508     5.4780   0.0001
     35  -147.384431     5.5260   0.0001
     36  -147.383884     5.8693   0.0000
     37  -147.383840     5.8971   0.0000
     38  -147.383551     6.0784   0.0000
     39  -147.383526     6.0938   0.0000
     40  -147.383523     6.0962   0.0000
     41  -147.383218     6.2873   0.0000
     42  -147.383205     6.2955   0.0000
     43  -147.383181     6.3108   0.0000
     44  -147.382990     6.4304   0.0000
     45  -147.382986     6.4326   0.0000
     46  -147.382927     6.4699   0.0000
     47  -147.382917     6.4764   0.0000
     48  -147.382872     6.5045   0.0000
     49  -147.382769     6.5693   0.0000
     50  -147.382602     6.6738   0.0000
     51  -147.382372     6.8184   0.0000
     52  -147.382368     6.8209   0.0000
     53  -147.382342     6.8368   0.0000
     54  -147.382326     6.8469   0.0000
     55  -147.382237     6.9031   0.0000
     56  -147.381952     7.0817   0.0000
     57  -147.381901     7.1138   0.0000
     58  -147.381882     7.1255   0.0000
     59  -147.381832     7.1568   0.0000
     60  -147.381707     7.2355   0.0000
     61  -147.381696     7.2421   0.0000
     62  -147.381680     7.2522   0.0000
     63  -147.381606     7.2989   0.0000
     64  -147.381530     7.3464   0.0000
     65  -147.381349     7.4599   0.0000
