  cluster  E_norm [Eh]  De [kcal]    p
     1   -146.496858     0.0000   0.6181
     2   -146.496398     0.2892   0.3794
     3   -146.490767     3.8226   0.0010
     4   -146.490571     3.9457   0.0008
     5   -146.490081     4.2531   0.0005
     6   -146.488667     5.1402   0.0001
     7   -146.488561     5.2065   0.0001
     8   -146.487772     5.7020   0.0000
     9   -146.487715     5.7375   0.0000
     10  -146.486745     6.3464   0.0000
     11  -146.486550     6.4686   0.0000
     12  -146.486085     6.7601   0.0000
     13  -146.486024     6.7988   0.0000
     14  -146.485779     6.9524   0.0000
     15  -146.485039     7.4165   0.0000
     16  -146.485031     7.4219   0.0000
     17  -146.484584     7.7023   0.0000
     18  -146.484451     7.7856   0.0000
     19  -146.483563     8.3430   0.0000
     20  -146.483276     8.5232   0.0000
     21  -146.482937     8.7358   0.0000
     22  -146.482018     9.3122   0.0000
     23  -146.481651     9.5431   0.0000
     24  -146.481647     9.5452   0.0000
     25  -146.481199     9.8265   0.0000
     26  -146.480936     9.9915   0.0000
     27  -146.480494     ******   0.0000
     28  -146.479449     ******   0.0000
     29  -146.479330     ******   0.0000
     30  -146.479260     ******   0.0000
     31  -146.478077     ******   0.0000
     32  -146.477734     ******   0.0000
     33  -146.477726     ******   0.0000
     34  -146.477475     ******   0.0000
     35  -146.477411     ******   0.0000
     36  -146.477233     ******   0.0000
     37  -146.477098     ******   0.0000
     38  -146.476895     ******   0.0000
     39  -146.476849     ******   0.0000
     40  -146.476838     ******   0.0000
     41  -146.476373     ******   0.0000
     42  -146.475716     ******   0.0000
     43  -146.474977     ******   0.0000
     44  -146.474682     ******   0.0000
     45  -146.474057     ******   0.0000
     46  -146.473492     ******   0.0000
     47  -146.472981     ******   0.0000
     48  -146.472171     ******   0.0000
     49  -146.471936     ******   0.0000
     50  -146.471594     ******   0.0000
     51  -146.470484     ******   0.0000
