  cluster  E_norm [Eh]  De [kcal]    p
     1   -144.755945     0.0000   0.5708
     2   -144.754884     0.6656   0.1856
     3   -144.754757     0.7455   0.1622
     4   -144.752964     1.8706   0.0243
     5   -144.752573     2.1158   0.0161
     6   -144.752327     2.2700   0.0124
     7   -144.752065     2.4347   0.0094
     8   -144.751894     2.5418   0.0078
     9   -144.751086     3.0490   0.0033
     10  -144.750628     3.3360   0.0020
     11  -144.750528     3.3993   0.0018
     12  -144.750310     3.5359   0.0015
     13  -144.749303     4.1677   0.0005
     14  -144.749270     4.1886   0.0005
     15  -144.749090     4.3012   0.0004
     16  -144.748558     4.6350   0.0002
     17  -144.748486     4.6804   0.0002
     18  -144.748100     4.9228   0.0001
     19  -144.748064     4.9454   0.0001
     20  -144.748030     4.9664   0.0001
     21  -144.747906     5.0446   0.0001
     22  -144.747861     5.0729   0.0001
     23  -144.747811     5.1043   0.0001
     24  -144.747519     5.2873   0.0001
     25  -144.747113     5.5421   0.0000
     26  -144.746880     5.6884   0.0000
     27  -144.746318     6.0412   0.0000
     28  -144.745740     6.4036   0.0000
     29  -144.745687     6.4368   0.0000
     30  -144.745616     6.4816   0.0000
     31  -144.745559     6.5169   0.0000
     32  -144.745327     6.6626   0.0000
     33  -144.745307     6.6756   0.0000
     34  -144.745258     6.7058   0.0000
     35  -144.745010     6.8614   0.0000
     36  -144.744915     6.9211   0.0000
     37  -144.744792     6.9983   0.0000
     38  -144.744764     7.0161   0.0000
     39  -144.744715     7.0469   0.0000
     40  -144.744614     7.1102   0.0000
     41  -144.744558     7.1452   0.0000
     42  -144.744481     7.1938   0.0000
     43  -144.743916     7.5482   0.0000
     44  -144.743337     7.9114   0.0000
     45  -144.743180     8.0099   0.0000
     46  -144.743095     8.0633   0.0000
     47  -144.743094     8.0639   0.0000
     48  -144.743072     8.0779   0.0000
     49  -144.742971     8.1410   0.0000
     50  -144.742916     8.1756   0.0000
     51  -144.742859     8.2111   0.0000
     52  -144.742828     8.2310   0.0000
     53  -144.742616     8.3637   0.0000
     54  -144.742565     8.3961   0.0000
     55  -144.742545     8.4084   0.0000
     56  -144.742518     8.4253   0.0000
     57  -144.742408     8.4943   0.0000
     58  -144.742384     8.5093   0.0000
     59  -144.742281     8.5740   0.0000
     60  -144.741740     8.9139   0.0000
     61  -144.741726     8.9223   0.0000
     62  -144.741614     8.9929   0.0000
     63  -144.741597     9.0036   0.0000
     64  -144.741574     9.0178   0.0000
     65  -144.741437     9.1037   0.0000
     66  -144.741425     9.1115   0.0000
     67  -144.741180     9.2648   0.0000
     68  -144.741034     9.3569   0.0000
     69  -144.740977     9.3923   0.0000
     70  -144.740775     9.5194   0.0000
     71  -144.740637     9.6060   0.0000
     72  -144.740625     9.6132   0.0000
     73  -144.740517     9.6809   0.0000
     74  -144.740007     ******   0.0000
     75  -144.739537     ******   0.0000
     76  -144.739456     ******   0.0000
     77  -144.739373     ******   0.0000
     78  -144.739287     ******   0.0000
     79  -144.739230     ******   0.0000
     80  -144.739227     ******   0.0000
     81  -144.739226     ******   0.0000
     82  -144.739135     ******   0.0000
     83  -144.739024     ******   0.0000
     84  -144.738992     ******   0.0000
     85  -144.738944     ******   0.0000
     86  -144.738820     ******   0.0000
     87  -144.738270     ******   0.0000
     88  -144.738248     ******   0.0000
     89  -144.738219     ******   0.0000
     90  -144.738158     ******   0.0000
     91  -144.738082     ******   0.0000
     92  -144.738070     ******   0.0000
     93  -144.738043     ******   0.0000
     94  -144.738038     ******   0.0000
     95  -144.737926     ******   0.0000
     96  -144.737732     ******   0.0000
     97  -144.737681     ******   0.0000
     98  -144.737659     ******   0.0000
     99  -144.737585     ******   0.0000
     100  -144.737487     ******   0.0000
     101  -144.737460     ******   0.0000
     102  -144.737450     ******   0.0000
     103  -144.737444     ******   0.0000
     104  -144.737378     ******   0.0000
     105  -144.737349     ******   0.0000
     106  -144.737246     ******   0.0000
     107  -144.737004     ******   0.0000
     108  -144.736940     ******   0.0000
     109  -144.736927     ******   0.0000
     110  -144.736862     ******   0.0000
     111  -144.736839     ******   0.0000
     112  -144.736422     ******   0.0000
     113  -144.736371     ******   0.0000
     114  -144.736348     ******   0.0000
     115  -144.736285     ******   0.0000
     116  -144.736229     ******   0.0000
     117  -144.736114     ******   0.0000
     118  -144.736085     ******   0.0000
     119  -144.736060     ******   0.0000
     120  -144.735840     ******   0.0000
     121  -144.735782     ******   0.0000
     122  -144.735331     ******   0.0000
     123  -144.734932     ******   0.0000
     124  -144.734918     ******   0.0000
     125  -144.734831     ******   0.0000
     126  -144.734767     ******   0.0000
     127  -144.734435     ******   0.0000
     128  -144.734242     ******   0.0000
     129  -144.733589     ******   0.0000
     130  -144.733285     ******   0.0000
     131  -144.733192     ******   0.0000
     132  -144.733087     ******   0.0000
     133  -144.732364     ******   0.0000
     134  -144.732237     ******   0.0000
     135  -144.731968     ******   0.0000
     136  -144.731794     ******   0.0000
     137  -144.731671     ******   0.0000
     138  -144.731644     ******   0.0000
     139  -144.731538     ******   0.0000
     140  -144.731380     ******   0.0000
     141  -144.731369     ******   0.0000
     142  -144.731238     ******   0.0000
     143  -144.730726     ******   0.0000
     144  -144.730723     ******   0.0000
     145  -144.730143     ******   0.0000
     146  -144.729863     ******   0.0000
     147  -144.729654     ******   0.0000
     148  -144.729653     ******   0.0000
     149  -144.729382     ******   0.0000
     150  -144.729013     ******   0.0000
     151  -144.728747     ******   0.0000
     152  -144.728192     ******   0.0000
     153  -144.726774     ******   0.0000
     154  -144.723127     ******   0.0000
