  cluster  E_norm [Eh]  De [kcal]    p
     1   -150.342953     0.0000   0.4353
     2   -150.342868     0.0532   0.3979
     3   -150.341444     0.9466   0.0881
     4   -150.341145     1.1340   0.0642
     5   -150.339542     2.1401   0.0117
     6   -150.336976     3.7505   0.0008
     7   -150.336549     4.0185   0.0005
     8   -150.336460     4.0745   0.0004
     9   -150.336459     4.0747   0.0004
     10  -150.335997     4.3647   0.0003
     11  -150.335497     4.6785   0.0002
     12  -150.334107     5.5510   0.0000
     13  -150.333949     5.6500   0.0000
     14  -150.333489     5.9386   0.0000
     15  -150.333311     6.0502   0.0000
     16  -150.333231     6.1007   0.0000
     17  -150.332883     6.3185   0.0000
     18  -150.332211     6.7407   0.0000
     19  -150.332160     6.7724   0.0000
     20  -150.332001     6.8721   0.0000
     21  -150.331985     6.8824   0.0000
     22  -150.331423     7.2351   0.0000
     23  -150.330976     7.5154   0.0000
     24  -150.330954     7.5292   0.0000
     25  -150.330935     7.5409   0.0000
     26  -150.330703     7.6870   0.0000
     27  -150.330648     7.7211   0.0000
     28  -150.330587     7.7593   0.0000
     29  -150.330478     7.8279   0.0000
     30  -150.330355     7.9052   0.0000
     31  -150.330096     8.0674   0.0000
     32  -150.329842     8.2271   0.0000
     33  -150.329577     8.3934   0.0000
     34  -150.329537     8.4187   0.0000
     35  -150.329368     8.5242   0.0000
     36  -150.329363     8.5276   0.0000
     37  -150.329216     8.6198   0.0000
     38  -150.329196     8.6325   0.0000
     39  -150.329111     8.6855   0.0000
     40  -150.329106     8.6892   0.0000
     41  -150.329076     8.7079   0.0000
     42  -150.329070     8.7115   0.0000
     43  -150.328780     8.8933   0.0000
     44  -150.328745     8.9152   0.0000
     45  -150.328672     8.9610   0.0000
     46  -150.328662     8.9672   0.0000
     47  -150.328649     8.9756   0.0000
     48  -150.328582     9.0174   0.0000
     49  -150.328525     9.0532   0.0000
     50  -150.328397     9.1337   0.0000
     51  -150.328310     9.1883   0.0000
     52  -150.328075     9.3359   0.0000
     53  -150.328060     9.3451   0.0000
     54  -150.327962     9.4069   0.0000
     55  -150.327960     9.4078   0.0000
     56  -150.327827     9.4914   0.0000
     57  -150.327467     9.7174   0.0000
     58  -150.327455     9.7252   0.0000
     59  -150.327434     9.7382   0.0000
     60  -150.327410     9.7530   0.0000
     61  -150.327293     9.8269   0.0000
     62  -150.327194     9.8886   0.0000
     63  -150.327161     9.9091   0.0000
     64  -150.326983     ******   0.0000
     65  -150.326875     ******   0.0000
     66  -150.326747     ******   0.0000
     67  -150.326745     ******   0.0000
     68  -150.326521     ******   0.0000
     69  -150.326461     ******   0.0000
     70  -150.326394     ******   0.0000
     71  -150.326324     ******   0.0000
     72  -150.326200     ******   0.0000
     73  -150.326148     ******   0.0000
     74  -150.325946     ******   0.0000
     75  -150.325872     ******   0.0000
     76  -150.325780     ******   0.0000
     77  -150.325568     ******   0.0000
     78  -150.325465     ******   0.0000
     79  -150.325432     ******   0.0000
     80  -150.325386     ******   0.0000
     81  -150.325353     ******   0.0000
     82  -150.325301     ******   0.0000
     83  -150.325295     ******   0.0000
     84  -150.325086     ******   0.0000
     85  -150.325060     ******   0.0000
     86  -150.325031     ******   0.0000
     87  -150.325007     ******   0.0000
     88  -150.324939     ******   0.0000
     89  -150.324878     ******   0.0000
     90  -150.324707     ******   0.0000
     91  -150.324699     ******   0.0000
     92  -150.324674     ******   0.0000
     93  -150.324580     ******   0.0000
     94  -150.324291     ******   0.0000
     95  -150.324283     ******   0.0000
     96  -150.324234     ******   0.0000
     97  -150.324088     ******   0.0000
     98  -150.324039     ******   0.0000
     99  -150.324027     ******   0.0000
     100  -150.323823     ******   0.0000
     101  -150.323681     ******   0.0000
     102  -150.323581     ******   0.0000
     103  -150.323480     ******   0.0000
     104  -150.323411     ******   0.0000
     105  -150.323273     ******   0.0000
     106  -150.322458     ******   0.0000
     107  -150.322259     ******   0.0000
     108  -150.322258     ******   0.0000
     109  -150.322257     ******   0.0000
     110  -150.322118     ******   0.0000
     111  -150.322051     ******   0.0000
     112  -150.321952     ******   0.0000
     113  -150.321861     ******   0.0000
     114  -150.321775     ******   0.0000
     115  -150.321487     ******   0.0000
     116  -150.321425     ******   0.0000
     117  -150.321418     ******   0.0000
     118  -150.321387     ******   0.0000
     119  -150.321282     ******   0.0000
     120  -150.320995     ******   0.0000
     121  -150.320724     ******   0.0000
     122  -150.320684     ******   0.0000
     123  -150.320625     ******   0.0000
     124  -150.320582     ******   0.0000
     125  -150.320555     ******   0.0000
     126  -150.320492     ******   0.0000
     127  -150.320423     ******   0.0000
     128  -150.320084     ******   0.0000
     129  -150.319866     ******   0.0000
     130  -150.319822     ******   0.0000
     131  -150.319629     ******   0.0000
     132  -150.319420     ******   0.0000
     133  -150.319334     ******   0.0000
     134  -150.319304     ******   0.0000
     135  -150.318867     ******   0.0000
     136  -150.318616     ******   0.0000
     137  -150.317522     ******   0.0000
     138  -150.317472     ******   0.0000
     139  -150.317252     ******   0.0000
     140  -150.316689     ******   0.0000
     141  -150.316201     ******   0.0000
     142  -150.316120     ******   0.0000
     143  -150.315798     ******   0.0000
     144  -150.315229     ******   0.0000
     145  -150.315069     ******   0.0000
     146  -150.315031     ******   0.0000
     147  -150.314583     ******   0.0000
     148  -150.314549     ******   0.0000
     149  -150.314493     ******   0.0000
     150  -150.314385     ******   0.0000
     151  -150.313660     ******   0.0000
     152  -150.313289     ******   0.0000
     153  -150.306087     ******   0.0000
