  cluster  E_norm [Eh]  De [kcal]    p
     1   -152.896851     0.0000   0.8180
     2   -152.895247     1.0069   0.1495
     3   -152.893246     2.2624   0.0180
     4   -152.892680     2.6173   0.0099
     5   -152.891501     3.3572   0.0028
     6   -152.890735     3.8379   0.0013
     7   -152.889435     4.6540   0.0003
     8   -152.888023     5.5398   0.0001
     9   -152.887659     5.7683   0.0000
     10  -152.887609     5.7995   0.0000
     11  -152.887593     5.8094   0.0000
     12  -152.887261     6.0180   0.0000
     13  -152.887146     6.0899   0.0000
     14  -152.886093     6.7511   0.0000
     15  -152.885719     6.9856   0.0000
     16  -152.885552     7.0904   0.0000
     17  -152.885322     7.2346   0.0000
     18  -152.885171     7.3297   0.0000
     19  -152.885056     7.4015   0.0000
     20  -152.884917     7.4886   0.0000
     21  -152.884863     7.5228   0.0000
     22  -152.884476     7.7654   0.0000
     23  -152.884238     7.9152   0.0000
     24  -152.884159     7.9644   0.0000
     25  -152.883946     8.0981   0.0000
     26  -152.883102     8.6281   0.0000
     27  -152.882924     8.7398   0.0000
     28  -152.882808     8.8126   0.0000
     29  -152.882672     8.8973   0.0000
     30  -152.882650     8.9115   0.0000
     31  -152.882230     9.1753   0.0000
     32  -152.881355     9.7241   0.0000
     33  -152.879814     ******   0.0000
     34  -152.879674     ******   0.0000
     35  -152.879384     ******   0.0000
     36  -152.878535     ******   0.0000
     37  -152.878530     ******   0.0000
     38  -152.878132     ******   0.0000
     39  -152.877793     ******   0.0000
     40  -152.877649     ******   0.0000
     41  -152.877415     ******   0.0000
     42  -152.877291     ******   0.0000
     43  -152.877100     ******   0.0000
     44  -152.877050     ******   0.0000
     45  -152.876782     ******   0.0000
     46  -152.876772     ******   0.0000
     47  -152.876760     ******   0.0000
     48  -152.876568     ******   0.0000
     49  -152.876184     ******   0.0000
     50  -152.876059     ******   0.0000
     51  -152.876039     ******   0.0000
     52  -152.875919     ******   0.0000
     53  -152.875898     ******   0.0000
     54  -152.875436     ******   0.0000
     55  -152.875172     ******   0.0000
     56  -152.875116     ******   0.0000
     57  -152.874910     ******   0.0000
     58  -152.874876     ******   0.0000
     59  -152.874572     ******   0.0000
     60  -152.874498     ******   0.0000
     61  -152.874339     ******   0.0000
     62  -152.874183     ******   0.0000
     63  -152.874151     ******   0.0000
     64  -152.874120     ******   0.0000
     65  -152.873783     ******   0.0000
     66  -152.873684     ******   0.0000
     67  -152.873641     ******   0.0000
     68  -152.873548     ******   0.0000
     69  -152.873517     ******   0.0000
     70  -152.873516     ******   0.0000
     71  -152.873487     ******   0.0000
     72  -152.873214     ******   0.0000
     73  -152.872683     ******   0.0000
     74  -152.872552     ******   0.0000
     75  -152.872539     ******   0.0000
     76  -152.872444     ******   0.0000
     77  -152.872299     ******   0.0000
     78  -152.872236     ******   0.0000
     79  -152.872176     ******   0.0000
     80  -152.872083     ******   0.0000
     81  -152.871854     ******   0.0000
     82  -152.871834     ******   0.0000
     83  -152.871779     ******   0.0000
     84  -152.871633     ******   0.0000
     85  -152.871549     ******   0.0000
     86  -152.871450     ******   0.0000
     87  -152.871437     ******   0.0000
     88  -152.871436     ******   0.0000
     89  -152.871377     ******   0.0000
     90  -152.871347     ******   0.0000
     91  -152.871271     ******   0.0000
     92  -152.871175     ******   0.0000
     93  -152.870956     ******   0.0000
     94  -152.870697     ******   0.0000
     95  -152.870642     ******   0.0000
     96  -152.870613     ******   0.0000
     97  -152.870568     ******   0.0000
     98  -152.870561     ******   0.0000
     99  -152.870467     ******   0.0000
     100  -152.870410     ******   0.0000
     101  -152.870393     ******   0.0000
     102  -152.870255     ******   0.0000
     103  -152.870045     ******   0.0000
     104  -152.869625     ******   0.0000
     105  -152.869594     ******   0.0000
     106  -152.869230     ******   0.0000
     107  -152.869169     ******   0.0000
     108  -152.869120     ******   0.0000
     109  -152.869101     ******   0.0000
     110  -152.869034     ******   0.0000
     111  -152.868936     ******   0.0000
     112  -152.868883     ******   0.0000
     113  -152.868754     ******   0.0000
     114  -152.868561     ******   0.0000
     115  -152.868522     ******   0.0000
     116  -152.868498     ******   0.0000
     117  -152.868464     ******   0.0000
     118  -152.868346     ******   0.0000
     119  -152.868289     ******   0.0000
     120  -152.868277     ******   0.0000
     121  -152.868023     ******   0.0000
     122  -152.867821     ******   0.0000
     123  -152.867789     ******   0.0000
     124  -152.867669     ******   0.0000
     125  -152.867648     ******   0.0000
     126  -152.867629     ******   0.0000
     127  -152.867625     ******   0.0000
     128  -152.867435     ******   0.0000
     129  -152.867326     ******   0.0000
     130  -152.867289     ******   0.0000
     131  -152.867118     ******   0.0000
     132  -152.867112     ******   0.0000
     133  -152.866977     ******   0.0000
     134  -152.866781     ******   0.0000
     135  -152.866712     ******   0.0000
     136  -152.866690     ******   0.0000
     137  -152.866409     ******   0.0000
     138  -152.866216     ******   0.0000
     139  -152.866054     ******   0.0000
     140  -152.865926     ******   0.0000
     141  -152.865223     ******   0.0000
     142  -152.865212     ******   0.0000
     143  -152.864922     ******   0.0000
     144  -152.864653     ******   0.0000
     145  -152.864108     ******   0.0000
     146  -152.863933     ******   0.0000
     147  -152.863730     ******   0.0000
     148  -152.863013     ******   0.0000
     149  -152.862486     ******   0.0000
     150  -152.862105     ******   0.0000
     151  -152.861902     ******   0.0000
     152  -152.861605     ******   0.0000
     153  -152.861286     ******   0.0000
     154  -152.860674     ******   0.0000
     155  -152.859496     ******   0.0000
     156  -152.859395     ******   0.0000
     157  -152.858586     ******   0.0000
     158  -152.857045     ******   0.0000
     159  -152.854297     ******   0.0000
     160  -152.692475     ******   0.0000
