  cluster  E_norm [Eh]  De [kcal]    p
     1   -147.818977     0.0000   0.7495
     2   -147.817149     1.1472   0.1081
     3   -147.817073     1.1944   0.0998
     4   -147.816244     1.7148   0.0415
     5   -147.812693     3.9430   0.0010
     6   -147.810245     5.4790   0.0001
     7   -147.809090     6.2042   0.0000
     8   -147.808876     6.3382   0.0000
     9   -147.807760     7.0387   0.0000
     10  -147.807434     7.2433   0.0000
     11  -147.802410     ******   0.0000
     12  -147.800814     ******   0.0000
     13  -147.799694     ******   0.0000
     14  -147.799598     ******   0.0000
     15  -147.799165     ******   0.0000
     16  -147.797985     ******   0.0000
     17  -147.797943     ******   0.0000
     18  -147.797808     ******   0.0000
     19  -147.797774     ******   0.0000
     20  -147.796739     ******   0.0000
     21  -147.796636     ******   0.0000
     22  -147.796432     ******   0.0000
     23  -147.795489     ******   0.0000
     24  -147.795442     ******   0.0000
     25  -147.794987     ******   0.0000
     26  -147.794911     ******   0.0000
     27  -147.794707     ******   0.0000
     28  -147.794220     ******   0.0000
     29  -147.793854     ******   0.0000
     30  -147.793672     ******   0.0000
     31  -147.793528     ******   0.0000
     32  -147.793484     ******   0.0000
     33  -147.793169     ******   0.0000
     34  -147.793155     ******   0.0000
     35  -147.792892     ******   0.0000
     36  -147.792861     ******   0.0000
     37  -147.792497     ******   0.0000
     38  -147.792473     ******   0.0000
     39  -147.792414     ******   0.0000
     40  -147.792088     ******   0.0000
     41  -147.791894     ******   0.0000
     42  -147.791721     ******   0.0000
     43  -147.791596     ******   0.0000
     44  -147.791555     ******   0.0000
     45  -147.791236     ******   0.0000
     46  -147.790880     ******   0.0000
     47  -147.790833     ******   0.0000
     48  -147.790761     ******   0.0000
     49  -147.790596     ******   0.0000
     50  -147.790521     ******   0.0000
     51  -147.790242     ******   0.0000
     52  -147.790051     ******   0.0000
     53  -147.790045     ******   0.0000
     54  -147.789973     ******   0.0000
     55  -147.789772     ******   0.0000
     56  -147.789545     ******   0.0000
     57  -147.789419     ******   0.0000
     58  -147.789363     ******   0.0000
     59  -147.788949     ******   0.0000
     60  -147.788776     ******   0.0000
     61  -147.788684     ******   0.0000
     62  -147.788668     ******   0.0000
     63  -147.788534     ******   0.0000
     64  -147.788433     ******   0.0000
     65  -147.787929     ******   0.0000
     66  -147.787850     ******   0.0000
     67  -147.787794     ******   0.0000
     68  -147.787671     ******   0.0000
     69  -147.787571     ******   0.0000
     70  -147.787490     ******   0.0000
     71  -147.787384     ******   0.0000
     72  -147.787302     ******   0.0000
     73  -147.787300     ******   0.0000
     74  -147.787238     ******   0.0000
     75  -147.786997     ******   0.0000
     76  -147.786954     ******   0.0000
     77  -147.786723     ******   0.0000
     78  -147.786478     ******   0.0000
     79  -147.786367     ******   0.0000
     80  -147.786345     ******   0.0000
     81  -147.786244     ******   0.0000
     82  -147.786201     ******   0.0000
     83  -147.785798     ******   0.0000
     84  -147.785725     ******   0.0000
     85  -147.785721     ******   0.0000
     86  -147.785553     ******   0.0000
     87  -147.785513     ******   0.0000
     88  -147.785497     ******   0.0000
     89  -147.785446     ******   0.0000
     90  -147.785438     ******   0.0000
     91  -147.785368     ******   0.0000
     92  -147.785316     ******   0.0000
     93  -147.785314     ******   0.0000
     94  -147.785089     ******   0.0000
     95  -147.785039     ******   0.0000
     96  -147.784876     ******   0.0000
     97  -147.784768     ******   0.0000
     98  -147.784578     ******   0.0000
     99  -147.784566     ******   0.0000
     100  -147.784414     ******   0.0000
     101  -147.784352     ******   0.0000
     102  -147.784260     ******   0.0000
     103  -147.784194     ******   0.0000
     104  -147.784117     ******   0.0000
     105  -147.783794     ******   0.0000
     106  -147.783621     ******   0.0000
     107  -147.783605     ******   0.0000
     108  -147.783407     ******   0.0000
     109  -147.783393     ******   0.0000
     110  -147.783219     ******   0.0000
     111  -147.783169     ******   0.0000
     112  -147.782835     ******   0.0000
     113  -147.782805     ******   0.0000
     114  -147.782701     ******   0.0000
     115  -147.782595     ******   0.0000
     116  -147.782509     ******   0.0000
     117  -147.782453     ******   0.0000
     118  -147.782332     ******   0.0000
     119  -147.782315     ******   0.0000
     120  -147.782268     ******   0.0000
     121  -147.782226     ******   0.0000
     122  -147.782043     ******   0.0000
     123  -147.781990     ******   0.0000
     124  -147.781729     ******   0.0000
     125  -147.781201     ******   0.0000
     126  -147.781087     ******   0.0000
     127  -147.781018     ******   0.0000
     128  -147.780694     ******   0.0000
     129  -147.780613     ******   0.0000
     130  -147.780425     ******   0.0000
     131  -147.780361     ******   0.0000
     132  -147.780351     ******   0.0000
     133  -147.780123     ******   0.0000
     134  -147.779952     ******   0.0000
     135  -147.779838     ******   0.0000
     136  -147.779544     ******   0.0000
     137  -147.779537     ******   0.0000
     138  -147.779334     ******   0.0000
     139  -147.779252     ******   0.0000
     140  -147.778373     ******   0.0000
     141  -147.778294     ******   0.0000
     142  -147.778146     ******   0.0000
     143  -147.778047     ******   0.0000
     144  -147.778035     ******   0.0000
     145  -147.777231     ******   0.0000
     146  -147.777022     ******   0.0000
     147  -147.776990     ******   0.0000
     148  -147.776037     ******   0.0000
     149  -147.775212     ******   0.0000
     150  -147.775176     ******   0.0000
     151  -147.773073     ******   0.0000
     152  -147.772103     ******   0.0000
     153  -147.771525     ******   0.0000
