  cluster  E_norm [Eh]  De [kcal]    p
     1   -146.903644     0.0000   0.5100
     2   -146.903139     0.3173   0.2986
     3   -146.902376     0.7961   0.1330
     4   -146.900894     1.7261   0.0277
     5   -146.899546     2.5717   0.0066
     6   -146.898954     2.9430   0.0036
     7   -146.898708     3.0975   0.0027
     8   -146.898697     3.1045   0.0027
     9   -146.898597     3.1673   0.0024
     10  -146.898497     3.2298   0.0022
     11  -146.898367     3.3115   0.0019
     12  -146.898339     3.3291   0.0019
     13  -146.897811     3.6606   0.0011
     14  -146.897661     3.7549   0.0009
     15  -146.897568     3.8129   0.0008
     16  -146.897329     3.9630   0.0006
     17  -146.897193     4.0483   0.0005
     18  -146.896813     4.2867   0.0004
     19  -146.896700     4.3578   0.0003
     20  -146.896606     4.4169   0.0003
     21  -146.896556     4.4478   0.0003
     22  -146.896445     4.5178   0.0002
     23  -146.896239     4.6472   0.0002
     24  -146.896221     4.6585   0.0002
     25  -146.895944     4.8321   0.0001
     26  -146.895684     4.9949   0.0001
     27  -146.895543     5.0835   0.0001
     28  -146.895287     5.2445   0.0001
     29  -146.894994     5.4281   0.0001
     30  -146.894920     5.4746   0.0000
     31  -146.894920     5.4749   0.0000
     32  -146.894892     5.4919   0.0000
     33  -146.894249     5.8958   0.0000
     34  -146.894143     5.9622   0.0000
     35  -146.893972     6.0695   0.0000
     36  -146.893848     6.1472   0.0000
     37  -146.893571     6.3214   0.0000
     38  -146.893138     6.5927   0.0000
     39  -146.893113     6.6083   0.0000
     40  -146.893004     6.6768   0.0000
     41  -146.892974     6.6960   0.0000
     42  -146.892785     6.8141   0.0000
     43  -146.892284     7.1288   0.0000
     44  -146.891736     7.4729   0.0000
     45  -146.891729     7.4773   0.0000
     46  -146.891716     7.4852   0.0000
     47  -146.891595     7.5613   0.0000
     48  -146.891523     7.6062   0.0000
     49  -146.891434     7.6621   0.0000
     50  -146.891149     7.8411   0.0000
     51  -146.891147     7.8424   0.0000
     52  -146.891042     7.9083   0.0000
     53  -146.890779     8.0733   0.0000
     54  -146.890560     8.2103   0.0000
     55  -146.890366     8.3324   0.0000
     56  -146.890344     8.3463   0.0000
     57  -146.890093     8.5038   0.0000
     58  -146.890002     8.5605   0.0000
     59  -146.889934     8.6037   0.0000
     60  -146.889760     8.7124   0.0000
     61  -146.889488     8.8834   0.0000
     62  -146.889479     8.8891   0.0000
     63  -146.889343     8.9743   0.0000
     64  -146.889313     8.9931   0.0000
     65  -146.889236     9.0415   0.0000
     66  -146.889231     9.0448   0.0000
     67  -146.889169     9.0836   0.0000
     68  -146.888904     9.2497   0.0000
     69  -146.888676     9.3929   0.0000
     70  -146.888630     9.4215   0.0000
     71  -146.888215     9.6818   0.0000
     72  -146.888084     9.7642   0.0000
     73  -146.887842     9.9161   0.0000
     74  -146.887838     9.9187   0.0000
     75  -146.887816     9.9323   0.0000
     76  -146.887792     9.9474   0.0000
     77  -146.887477     ******   0.0000
     78  -146.887399     ******   0.0000
     79  -146.887385     ******   0.0000
     80  -146.887270     ******   0.0000
     81  -146.886947     ******   0.0000
     82  -146.886909     ******   0.0000
     83  -146.886877     ******   0.0000
     84  -146.886818     ******   0.0000
     85  -146.886786     ******   0.0000
     86  -146.886633     ******   0.0000
     87  -146.886626     ******   0.0000
     88  -146.886612     ******   0.0000
     89  -146.886585     ******   0.0000
     90  -146.886548     ******   0.0000
     91  -146.886545     ******   0.0000
     92  -146.886507     ******   0.0000
     93  -146.886406     ******   0.0000
     94  -146.886088     ******   0.0000
     95  -146.886087     ******   0.0000
     96  -146.886030     ******   0.0000
     97  -146.885964     ******   0.0000
     98  -146.885827     ******   0.0000
     99  -146.885618     ******   0.0000
     100  -146.885582     ******   0.0000
     101  -146.885488     ******   0.0000
     102  -146.885431     ******   0.0000
     103  -146.885417     ******   0.0000
     104  -146.885305     ******   0.0000
