  cluster  E_norm [Eh]  De [kcal]    p
     1   -142.083959     0.0000   0.4009
     2   -142.083953     0.0039   0.3983
     3   -142.082277     1.0558   0.0675
     4   -142.081547     1.5140   0.0311
     5   -142.081340     1.6435   0.0250
     6   -142.081334     1.6472   0.0249
     7   -142.081133     1.7735   0.0201
     8   -142.080439     2.2090   0.0096
     9   -142.080171     2.3771   0.0073
     10  -142.079672     2.6901   0.0043
     11  -142.079504     2.7955   0.0036
     12  -142.079316     2.9138   0.0029
     13  -142.078412     3.4809   0.0011
     14  -142.078133     3.6561   0.0008
     15  -142.077728     3.9100   0.0005
     16  -142.077544     4.0260   0.0004
     17  -142.077505     4.0501   0.0004
     18  -142.077486     4.0620   0.0004
     19  -142.077424     4.1009   0.0004
     20  -142.077282     4.1903   0.0003

Ensemble free energy [Eh]:     -142.0848224215
