  cluster  E_norm [Eh]  De [kcal]    p
     1   -152.700839     0.0000   0.9710
     2   -152.696871     2.4895   0.0145
     3   -152.696576     2.6745   0.0106
     4   -152.694732     3.8317   0.0015
     5   -152.693986     4.3001   0.0007
     6   -152.693960     4.3163   0.0007
     7   -152.693448     4.6378   0.0004
     8   -152.692609     5.1642   0.0002
     9   -152.692587     5.1781   0.0002
     10  -152.691951     5.5767   0.0001
     11  -152.691810     5.6654   0.0001
     12  -152.691008     6.1687   0.0000
     13  -152.690941     6.2108   0.0000
     14  -152.689706     6.9861   0.0000
     15  -152.689465     7.1370   0.0000
     16  -152.689382     7.1893   0.0000
     17  -152.688696     7.6198   0.0000
     18  -152.686998     8.6853   0.0000
     19  -152.678373     ******   0.0000
     20  -152.678240     ******   0.0000

Ensemble free energy [Eh]:     -152.7008662712
