  cluster  E_norm [Eh]  De [kcal]    p
     1   -193.006547     0.0000   0.4109
     2   -193.006394     0.0960   0.3494
     3   -193.005413     0.7119   0.1235
     4   -193.005213     0.8375   0.0999
     5   -193.002941     2.2629   0.0090
     6   -193.001907     2.9117   0.0030
     7   -193.001436     3.2075   0.0018
     8   -193.001033     3.4605   0.0012
     9   -193.000122     4.0317   0.0005
     10  -193.000065     4.0680   0.0004
     11  -192.999045     4.7078   0.0001
     12  -192.998689     4.9312   0.0001
     13  -192.997447     5.7102   0.0000
     14  -192.997168     5.8858   0.0000
     15  -192.997080     5.9411   0.0000
     16  -192.996855     6.0818   0.0000
     17  -192.996200     6.4932   0.0000
     18  -192.996056     6.5837   0.0000
     19  -192.995838     6.7205   0.0000
     20  -192.995649     6.8389   0.0000

Ensemble free energy [Eh]:     -193.0073872276
