  cluster  E_norm [Eh]  De [kcal]    p
     1   -193.003988     0.0000   0.7291
     2   -193.002671     0.8264   0.1807
     3   -193.001280     1.6991   0.0414
     4   -193.000746     2.0339   0.0235
     5   -193.000639     2.1014   0.0210
     6   -192.997949     3.7892   0.0012
     7   -192.997885     3.8294   0.0011
     8   -192.996956     4.4126   0.0004
     9   -192.996629     4.6176   0.0003
     10  -192.996365     4.7832   0.0002
     11  -192.995791     5.1436   0.0001
     12  -192.995779     5.1512   0.0001
     13  -192.995727     5.1836   0.0001
     14  -192.995372     5.4061   0.0001
     15  -192.995081     5.5889   0.0001
     16  -192.994921     5.6892   0.0000
     17  -192.994895     5.7056   0.0000
     18  -192.994385     6.0260   0.0000
     19  -192.994300     6.0791   0.0000
     20  -192.994261     6.1037   0.0000
     21  -192.994243     6.1152   0.0000
     22  -192.994171     6.1599   0.0000
     23  -192.993698     6.4570   0.0000
     24  -192.993690     6.4621   0.0000
     25  -192.993469     6.6005   0.0000
     26  -192.993361     6.6681   0.0000
     27  -192.993237     6.7462   0.0000
     28  -192.993170     6.7882   0.0000
     29  -192.993085     6.8416   0.0000
     30  -192.993060     6.8571   0.0000
     31  -192.992908     6.9523   0.0000
     32  -192.992897     6.9596   0.0000
     33  -192.992747     7.0538   0.0000
     34  -192.992687     7.0911   0.0000
     35  -192.992522     7.1949   0.0000
     36  -192.992387     7.2792   0.0000
     37  -192.992292     7.3391   0.0000
     38  -192.992088     7.4669   0.0000
     39  -192.991996     7.5250   0.0000
     40  -192.991874     7.6015   0.0000
     41  -192.991739     7.6861   0.0000
     42  -192.991600     7.7734   0.0000
     43  -192.991401     7.8981   0.0000
     44  -192.991339     7.9374   0.0000
     45  -192.991203     8.0223   0.0000
     46  -192.990999     8.1508   0.0000
     47  -192.990976     8.1650   0.0000
     48  -192.990739     8.3134   0.0000
     49  -192.990732     8.3180   0.0000
     50  -192.990610     8.3945   0.0000
     51  -192.990550     8.4323   0.0000
     52  -192.990539     8.4394   0.0000
     53  -192.990351     8.5568   0.0000
     54  -192.990145     8.6864   0.0000
     55  -192.990129     8.6962   0.0000
     56  -192.990059     8.7402   0.0000
     57  -192.989815     8.8935   0.0000
     58  -192.989698     8.9671   0.0000
     59  -192.989646     8.9993   0.0000
     60  -192.989553     9.0576   0.0000
     61  -192.989548     9.0611   0.0000
     62  -192.989545     9.0630   0.0000
     63  -192.989443     9.1270   0.0000
     64  -192.989436     9.1312   0.0000
     65  -192.989386     9.1627   0.0000
     66  -192.989251     9.2474   0.0000
     67  -192.989199     9.2798   0.0000
     68  -192.989028     9.3870   0.0000
     69  -192.988802     9.5289   0.0000
     70  -192.988798     9.5316   0.0000
     71  -192.988524     9.7035   0.0000
     72  -192.988470     9.7372   0.0000
     73  -192.987978     ******   0.0000
     74  -192.987945     ******   0.0000
     75  -192.987819     ******   0.0000
     76  -192.987786     ******   0.0000
     77  -192.987512     ******   0.0000
     78  -192.987393     ******   0.0000
     79  -192.987393     ******   0.0000
     80  -192.987358     ******   0.0000
     81  -192.987192     ******   0.0000
     82  -192.986955     ******   0.0000
     83  -192.986898     ******   0.0000
     84  -192.986864     ******   0.0000
     85  -192.986766     ******   0.0000
     86  -192.986738     ******   0.0000
     87  -192.986711     ******   0.0000
     88  -192.986697     ******   0.0000
     89  -192.986626     ******   0.0000
     90  -192.986584     ******   0.0000
     91  -192.986474     ******   0.0000
     92  -192.986332     ******   0.0000
     93  -192.986052     ******   0.0000
     94  -192.985895     ******   0.0000
     95  -192.985793     ******   0.0000
     96  -192.985739     ******   0.0000
     97  -192.985681     ******   0.0000
     98  -192.985638     ******   0.0000
     99  -192.985637     ******   0.0000
     100  -192.985527     ******   0.0000
     101  -192.985445     ******   0.0000
     102  -192.985373     ******   0.0000
     103  -192.985114     ******   0.0000
     104  -192.984572     ******   0.0000
     105  -192.984518     ******   0.0000
     106  -192.984429     ******   0.0000
     107  -192.984384     ******   0.0000
     108  -192.984238     ******   0.0000
     109  -192.984165     ******   0.0000
     110  -192.984059     ******   0.0000
     111  -192.984056     ******   0.0000
     112  -192.984022     ******   0.0000
     113  -192.983987     ******   0.0000
     114  -192.983880     ******   0.0000
     115  -192.983854     ******   0.0000
     116  -192.983804     ******   0.0000
     117  -192.983748     ******   0.0000
     118  -192.983617     ******   0.0000
     119  -192.983499     ******   0.0000
     120  -192.983479     ******   0.0000
     121  -192.983394     ******   0.0000
     122  -192.983283     ******   0.0000
     123  -192.983274     ******   0.0000
     124  -192.983077     ******   0.0000
     125  -192.983062     ******   0.0000
     126  -192.982694     ******   0.0000
     127  -192.982693     ******   0.0000
     128  -192.982262     ******   0.0000
     129  -192.982204     ******   0.0000
     130  -192.982139     ******   0.0000
     131  -192.982060     ******   0.0000
     132  -192.982018     ******   0.0000
     133  -192.981995     ******   0.0000
     134  -192.981615     ******   0.0000
     135  -192.981507     ******   0.0000
     136  -192.980946     ******   0.0000
     137  -192.980944     ******   0.0000
     138  -192.980927     ******   0.0000
     139  -192.980838     ******   0.0000
     140  -192.980736     ******   0.0000
     141  -192.980416     ******   0.0000
     142  -192.980040     ******   0.0000
     143  -192.979758     ******   0.0000
     144  -192.979686     ******   0.0000
     145  -192.979478     ******   0.0000
     146  -192.978488     ******   0.0000
     147  -192.978137     ******   0.0000
     148  -192.977765     ******   0.0000
     149  -192.977678     ******   0.0000
     150  -192.977533     ******   0.0000
     151  -192.976942     ******   0.0000
     152  -192.976928     ******   0.0000
     153  -192.976703     ******   0.0000
     154  -192.974486     ******   0.0000
     155  -192.960706     ******   0.0000
