  cluster  E_norm [Eh]  De [kcal]    p
     1   -509.209452     0.0000   0.6568
     2   -509.208216     0.7755   0.1774
     3   -509.207939     0.9496   0.1322
     4   -509.205555     2.4453   0.0106
     5   -509.205118     2.7195   0.0067
     6   -509.204693     2.9859   0.0043
     7   -509.204329     3.2144   0.0029
     8   -509.203954     3.4497   0.0019
     9   -509.203869     3.5035   0.0018
     10  -509.203850     3.5150   0.0017
     11  -509.203789     3.5536   0.0016
     12  -509.203634     3.6504   0.0014
     13  -509.202759     4.2000   0.0005
     14  -509.200962     5.3274   0.0001
     15  -509.199731     6.0999   0.0000
     16  -509.194709     9.2511   0.0000
     17  -509.194220     9.5583   0.0000
     18  -509.193981     9.7080   0.0000
     19  -509.193913     9.7507   0.0000
     20  -509.188412     ******   0.0000

Ensemble free energy [Eh]:     -509.2098487016
