  cluster  E_norm [Eh]  De [kcal]    p
     1   -320.322110     0.0000   0.9906
     2   -320.317469     2.9122   0.0073
     3   -320.315968     3.8544   0.0015
     4   -320.314669     4.6692   0.0004
     5   -320.314398     4.8393   0.0003
     6   -320.312177     6.2329   0.0000
     7   -320.311307     6.7788   0.0000
     8   -320.309898     7.6629   0.0000
     9   -320.309825     7.7088   0.0000
     10  -320.309219     8.0890   0.0000
     11  -320.308486     8.5489   0.0000
     12  -320.307124     9.4039   0.0000
     13  -320.306774     9.6231   0.0000
     14  -320.306764     9.6297   0.0000
     15  -320.306631     9.7133   0.0000
     16  -320.306349     9.8898   0.0000
     17  -320.306023     ******   0.0000
     18  -320.305904     ******   0.0000
     19  -320.305348     ******   0.0000
     20  -320.305220     ******   0.0000
     21  -320.305035     ******   0.0000
     22  -320.304915     ******   0.0000
     23  -320.304883     ******   0.0000
     24  -320.304653     ******   0.0000
     25  -320.303759     ******   0.0000
     26  -320.303642     ******   0.0000
     27  -320.303272     ******   0.0000
     28  -320.302879     ******   0.0000
     29  -320.302764     ******   0.0000
     30  -320.302723     ******   0.0000
     31  -320.302237     ******   0.0000
     32  -320.302093     ******   0.0000
     33  -320.301964     ******   0.0000
     34  -320.301766     ******   0.0000
     35  -320.301249     ******   0.0000
     36  -320.301088     ******   0.0000
     37  -320.300166     ******   0.0000
     38  -320.299518     ******   0.0000
     39  -320.298546     ******   0.0000
     40  -320.298510     ******   0.0000
     41  -320.298484     ******   0.0000
     42  -320.298098     ******   0.0000
     43  -320.297954     ******   0.0000
     44  -320.297470     ******   0.0000
     45  -320.297250     ******   0.0000
     46  -320.296894     ******   0.0000
     47  -320.296321     ******   0.0000
     48  -320.296274     ******   0.0000
     49  -320.296150     ******   0.0000
     50  -320.295431     ******   0.0000
     51  -320.295418     ******   0.0000
     52  -320.295416     ******   0.0000
     53  -320.295181     ******   0.0000
     54  -320.295034     ******   0.0000
     55  -320.294822     ******   0.0000
     56  -320.294591     ******   0.0000
     57  -320.294447     ******   0.0000
     58  -320.294303     ******   0.0000
     59  -320.294188     ******   0.0000
     60  -320.294163     ******   0.0000
     61  -320.294120     ******   0.0000
     62  -320.293693     ******   0.0000
     63  -320.293611     ******   0.0000
     64  -320.293360     ******   0.0000
     65  -320.293136     ******   0.0000
     66  -320.292915     ******   0.0000
     67  -320.292789     ******   0.0000
     68  -320.292785     ******   0.0000
     69  -320.292372     ******   0.0000
     70  -320.292091     ******   0.0000
     71  -320.292055     ******   0.0000
     72  -320.292011     ******   0.0000
     73  -320.291793     ******   0.0000
     74  -320.290769     ******   0.0000
     75  -320.290768     ******   0.0000
     76  -320.289667     ******   0.0000
     77  -320.289362     ******   0.0000
     78  -320.289243     ******   0.0000
     79  -320.289000     ******   0.0000
     80  -320.288824     ******   0.0000
     81  -320.288759     ******   0.0000
     82  -320.288652     ******   0.0000
     83  -320.288599     ******   0.0000
     84  -320.288439     ******   0.0000
     85  -320.288359     ******   0.0000
     86  -320.288311     ******   0.0000
     87  -320.288124     ******   0.0000
     88  -320.287326     ******   0.0000
     89  -320.285805     ******   0.0000
     90  -320.285186     ******   0.0000
     91  -320.284943     ******   0.0000
     92  -320.284796     ******   0.0000
     93  -320.283894     ******   0.0000
     94  -320.283588     ******   0.0000
     95  -320.283249     ******   0.0000
     96  -320.282242     ******   0.0000
     97  -320.282144     ******   0.0000
     98  -320.281946     ******   0.0000
     99  -320.278386     ******   0.0000
     100  -320.277894     ******   0.0000
     101  -320.274556     ******   0.0000
     102  -320.271141     ******   0.0000
