  cluster  E_norm [Eh]  De [kcal]    p
     1   -243.928397     0.0000   0.9314
     2   -243.925793     1.6337   0.0591
     3   -243.923580     3.0222   0.0057
     4   -243.922547     3.6704   0.0019
     5   -243.921801     4.1388   0.0009
     6   -243.920926     4.6878   0.0003
     7   -243.920887     4.7126   0.0003
     8   -243.920397     5.0198   0.0002
     9   -243.919637     5.4968   0.0001
     10  -243.919154     5.7999   0.0001
     11  -243.918510     6.2037   0.0000
     12  -243.918442     6.2464   0.0000
     13  -243.917917     6.5757   0.0000
     14  -243.917377     6.9149   0.0000
     15  -243.917230     7.0071   0.0000
     16  -243.917197     7.0278   0.0000
     17  -243.916769     7.2963   0.0000
     18  -243.916626     7.3863   0.0000
     19  -243.916625     7.3870   0.0000
     20  -243.916523     7.4505   0.0000

Ensemble free energy [Eh]:     -243.9284636493
