  cluster  E_norm [Eh]  De [kcal]    p
     1   -138.022518     0.0000   0.9824
     2   -138.018575     2.4740   0.0151
     3   -138.016348     3.8720   0.0014
     4   -138.015391     4.4725   0.0005
     5   -138.015150     4.6232   0.0004
     6   -138.013284     5.7945   0.0001
     7   -138.013202     5.8460   0.0001
     8   -138.011663     6.8116   0.0000
     9   -138.011301     7.0388   0.0000
     10  -138.011281     7.0511   0.0000
     11  -138.011226     7.0859   0.0000
     12  -138.011132     7.1447   0.0000
     13  -138.010904     7.2882   0.0000
     14  -138.010041     7.8295   0.0000
     15  -138.010035     7.8329   0.0000
     16  -138.009967     7.8758   0.0000
     17  -138.009862     7.9415   0.0000
     18  -138.009740     8.0182   0.0000
     19  -138.009708     8.0383   0.0000
     20  -138.009193     8.3614   0.0000

Ensemble free energy [Eh]:     -138.0225346859
