  cluster  E_norm [Eh]  De [kcal]    p
     1   -163.480511     0.0000   0.9957
     2   -163.474515     3.7629   0.0017
     3   -163.474356     3.8627   0.0015
     4   -163.474002     4.0847   0.0010
     5   -163.471336     5.7574   0.0001
     6   -163.470258     6.4344   0.0000
     7   -163.469834     6.7000   0.0000
     8   -163.468847     7.3196   0.0000
     9   -163.468555     7.5025   0.0000
     10  -163.468332     7.6425   0.0000
     11  -163.467699     8.0398   0.0000
     12  -163.467699     8.0401   0.0000
     13  -163.467371     8.2460   0.0000
     14  -163.467202     8.3519   0.0000
     15  -163.466980     8.4909   0.0000
     16  -163.466877     8.5556   0.0000
     17  -163.466740     8.6421   0.0000
     18  -163.466707     8.6626   0.0000
     19  -163.466684     8.6768   0.0000
     20  -163.466549     8.7615   0.0000
     21  -163.465816     9.2219   0.0000
     22  -163.465734     9.2732   0.0000
     23  -163.465568     9.3772   0.0000
     24  -163.465519     9.4079   0.0000
     25  -163.465447     9.4529   0.0000
     26  -163.465303     9.5433   0.0000
     27  -163.465196     9.6103   0.0000
     28  -163.465181     9.6201   0.0000
     29  -163.464947     9.7671   0.0000
     30  -163.464944     9.7690   0.0000
     31  -163.464570     ******   0.0000
     32  -163.464567     ******   0.0000
     33  -163.464514     ******   0.0000
     34  -163.464328     ******   0.0000
     35  -163.464138     ******   0.0000
     36  -163.463835     ******   0.0000
     37  -163.463618     ******   0.0000
     38  -163.463450     ******   0.0000
     39  -163.463287     ******   0.0000
     40  -163.463014     ******   0.0000
     41  -163.462828     ******   0.0000
     42  -163.462626     ******   0.0000
     43  -163.462581     ******   0.0000
     44  -163.462533     ******   0.0000
     45  -163.462400     ******   0.0000
     46  -163.462222     ******   0.0000
     47  -163.462091     ******   0.0000
     48  -163.461945     ******   0.0000
     49  -163.461931     ******   0.0000
     50  -163.461925     ******   0.0000
     51  -163.461581     ******   0.0000
     52  -163.461350     ******   0.0000
     53  -163.460905     ******   0.0000
     54  -163.460884     ******   0.0000
     55  -163.460823     ******   0.0000
     56  -163.460494     ******   0.0000
     57  -163.460411     ******   0.0000
     58  -163.460410     ******   0.0000
     59  -163.460405     ******   0.0000
     60  -163.460353     ******   0.0000
     61  -163.460175     ******   0.0000
     62  -163.459976     ******   0.0000
     63  -163.459769     ******   0.0000
     64  -163.459742     ******   0.0000
     65  -163.459664     ******   0.0000
     66  -163.459663     ******   0.0000
     67  -163.459507     ******   0.0000
     68  -163.459403     ******   0.0000
     69  -163.459391     ******   0.0000
     70  -163.459358     ******   0.0000
     71  -163.459333     ******   0.0000
     72  -163.459194     ******   0.0000
     73  -163.459186     ******   0.0000
     74  -163.459150     ******   0.0000
     75  -163.459092     ******   0.0000
     76  -163.459034     ******   0.0000
     77  -163.458869     ******   0.0000
     78  -163.458792     ******   0.0000
     79  -163.458785     ******   0.0000
     80  -163.458573     ******   0.0000
     81  -163.458564     ******   0.0000
     82  -163.458368     ******   0.0000
     83  -163.458334     ******   0.0000
     84  -163.458197     ******   0.0000
     85  -163.458128     ******   0.0000
     86  -163.458070     ******   0.0000
     87  -163.458005     ******   0.0000
     88  -163.457958     ******   0.0000
     89  -163.457523     ******   0.0000
     90  -163.457431     ******   0.0000
     91  -163.457417     ******   0.0000
     92  -163.457407     ******   0.0000
     93  -163.457220     ******   0.0000
     94  -163.457128     ******   0.0000
     95  -163.457043     ******   0.0000
     96  -163.457033     ******   0.0000
     97  -163.456951     ******   0.0000
     98  -163.456922     ******   0.0000
     99  -163.456899     ******   0.0000
     100  -163.456841     ******   0.0000
     101  -163.456581     ******   0.0000
     102  -163.456573     ******   0.0000
     103  -163.456397     ******   0.0000
     104  -163.456394     ******   0.0000
     105  -163.456167     ******   0.0000
     106  -163.456118     ******   0.0000
     107  -163.456117     ******   0.0000
     108  -163.455987     ******   0.0000
     109  -163.455933     ******   0.0000
     110  -163.455668     ******   0.0000
     111  -163.455562     ******   0.0000
     112  -163.455537     ******   0.0000
     113  -163.455493     ******   0.0000
     114  -163.455447     ******   0.0000
     115  -163.455241     ******   0.0000
     116  -163.455087     ******   0.0000
     117  -163.455037     ******   0.0000
     118  -163.455006     ******   0.0000
     119  -163.454822     ******   0.0000
     120  -163.454754     ******   0.0000
     121  -163.454631     ******   0.0000
     122  -163.454386     ******   0.0000
     123  -163.454366     ******   0.0000
     124  -163.454283     ******   0.0000
     125  -163.454214     ******   0.0000
     126  -163.454181     ******   0.0000
     127  -163.454166     ******   0.0000
     128  -163.454082     ******   0.0000
     129  -163.453993     ******   0.0000
     130  -163.453628     ******   0.0000
     131  -163.453614     ******   0.0000
     132  -163.453551     ******   0.0000
     133  -163.453412     ******   0.0000
     134  -163.453062     ******   0.0000
     135  -163.452836     ******   0.0000
     136  -163.452800     ******   0.0000
     137  -163.452559     ******   0.0000
     138  -163.452275     ******   0.0000
     139  -163.452246     ******   0.0000
     140  -163.452000     ******   0.0000
     141  -163.451981     ******   0.0000
     142  -163.451827     ******   0.0000
     143  -163.451800     ******   0.0000
     144  -163.451781     ******   0.0000
     145  -163.451620     ******   0.0000
     146  -163.451540     ******   0.0000
     147  -163.451526     ******   0.0000
     148  -163.450908     ******   0.0000
     149  -163.450500     ******   0.0000
     150  -163.449988     ******   0.0000
     151  -163.448816     ******   0.0000
     152  -163.448797     ******   0.0000
     153  -163.448792     ******   0.0000
     154  -163.447540     ******   0.0000
     155  -163.447476     ******   0.0000
     156  -163.446290     ******   0.0000
