  cluster  E_norm [Eh]  De [kcal]    p
     1   -203.638300     0.0000   0.8102
     2   -203.636474     1.1457   0.1171
     3   -203.635310     1.8766   0.0341
     4   -203.634914     2.1247   0.0224
     5   -203.634544     2.3570   0.0152
     6   -203.631171     4.4737   0.0004
     7   -203.630632     4.8117   0.0002
     8   -203.630469     4.9138   0.0002
     9   -203.629238     5.6867   0.0001
     10  -203.626568     7.3623   0.0000
     11  -203.626443     7.4406   0.0000
     12  -203.626090     7.6622   0.0000
     13  -203.624684     8.5440   0.0000
     14  -203.623334     9.3915   0.0000
     15  -203.621023     ******   0.0000
     16  -203.620265     ******   0.0000
     17  -203.620147     ******   0.0000
     18  -203.619992     ******   0.0000
     19  -203.617889     ******   0.0000
     20  -203.615412     ******   0.0000

Ensemble free energy [Eh]:     -203.6384988500
