  cluster  E_norm [Eh]  De [kcal]    p
     1   -407.583375     0.0000   0.8653
     2   -407.581563     1.1369   0.1270
     3   -407.578902     2.8067   0.0076
     4   -407.574976     5.2699   0.0001
     5   -407.572778     6.6497   0.0000
     6   -407.572335     6.9276   0.0000
     7   -407.572289     6.9563   0.0000
     8   -407.572084     7.0849   0.0000
     9   -407.571079     7.7155   0.0000
     10  -407.570369     8.1611   0.0000
     11  -407.570288     8.2119   0.0000
     12  -407.570256     8.2323   0.0000
     13  -407.570027     8.3760   0.0000
     14  -407.569888     8.4629   0.0000
     15  -407.569651     8.6119   0.0000
     16  -407.569167     8.9153   0.0000
     17  -407.568331     9.4402   0.0000
     18  -407.568048     9.6177   0.0000
     19  -407.567985     9.6572   0.0000
     20  -407.567948     9.6806   0.0000

Ensemble free energy [Eh]:     -407.5835112292
