   #   Energy       Run. Aver.   Diff / au.
    1 -574.55739088  -0.91561539  -0.91561539
    2 -546.44802296  -1.35102552  -0.43541013
    3 -543.04018488  -1.33428356   0.01674195
    4 -543.88146185  -1.21320973   0.12107383
    5 -545.93506857  -1.12035358   0.09285615
    6 -546.84827565  -1.06339498   0.05695860
    7 -546.07721542  -1.02766294   0.03573203
    8 -545.08604797  -1.00331980   0.02434315
    9 -543.39197686  -0.98535171   0.01796809
   10 -542.31891377  -0.97144374   0.01390797
   11 -542.49605918  -0.96045926   0.01098448
   12 -542.10442309  -0.95149714   0.00896212
   13 -542.45661278  -0.94411254   0.00738459
   14 -543.45422910  -0.93800913   0.00610341
   15 -542.76124805  -0.93273130   0.00527784
   16 -542.06001976  -0.92809495   0.00463635
   17 -542.06286873  -0.92404205   0.00405290
   18 -542.82158127  -0.92053906   0.00350299
   19 -542.45670392  -0.91740315   0.00313591
   20 -540.89583349  -0.91447481   0.00292834
   21 -540.50696810  -0.91180574   0.00266907
   22 -540.64623392  -0.90940118   0.00240456
   23 -540.03321343  -0.90717474   0.00222644
   24 -539.89116956  -0.90513182   0.00204291
   25 -540.36996578  -0.90329020   0.00184162
   26 -539.95556536  -0.90157259   0.00171761
   27 -540.30167092  -0.90000723   0.00156536
   28 -541.70551716  -0.89863902   0.00136821
   29 -541.73304346  -0.89737347   0.00126554
   30 -542.87391379  -0.89625632   0.00111715
   31 -543.15484981  -0.89523048   0.00102585
   32 -542.70691543  -0.89424929   0.00098118
   33 -541.68194410  -0.89327943   0.00096986
   34 -541.64033638  -0.89236500   0.00091443
   35 -542.09506060  -0.89152512   0.00083989
