  cluster  E_norm [Eh]  De [kcal]    p
     1   -356.650473     0.0000   0.8251
     2   -356.648959     0.9494   0.1662
     3   -356.646053     2.7732   0.0076
     4   -356.643303     4.4991   0.0004
     5   -356.643227     4.5469   0.0004
     6   -356.642629     4.9216   0.0002
     7   -356.641127     5.8645   0.0000
     8   -356.640587     6.2034   0.0000
     9   -356.640397     6.3222   0.0000
     10  -356.640160     6.4711   0.0000
     11  -356.639775     6.7129   0.0000
     12  -356.638622     7.4363   0.0000
     13  -356.638123     7.7492   0.0000
     14  -356.637971     7.8450   0.0000
     15  -356.637535     8.1183   0.0000
     16  -356.637275     8.2813   0.0000
     17  -356.637095     8.3947   0.0000
     18  -356.636914     8.5080   0.0000
     19  -356.636401     8.8300   0.0000
     20  -356.636315     8.8841   0.0000
     21  -356.636156     8.9835   0.0000
     22  -356.635679     9.2828   0.0000
     23  -356.635361     9.4827   0.0000
     24  -356.635333     9.5004   0.0000
     25  -356.634916     9.7616   0.0000
     26  -356.634477     ******   0.0000
     27  -356.634422     ******   0.0000
     28  -356.633604     ******   0.0000
     29  -356.633580     ******   0.0000
     30  -356.633358     ******   0.0000
     31  -356.633185     ******   0.0000
     32  -356.633022     ******   0.0000
     33  -356.632961     ******   0.0000
     34  -356.632486     ******   0.0000
     35  -356.632356     ******   0.0000
     36  -356.632297     ******   0.0000
     37  -356.632009     ******   0.0000
     38  -356.631786     ******   0.0000
     39  -356.631635     ******   0.0000
     40  -356.631473     ******   0.0000
     41  -356.631291     ******   0.0000
     42  -356.631280     ******   0.0000
     43  -356.631248     ******   0.0000
     44  -356.631098     ******   0.0000
     45  -356.630738     ******   0.0000
     46  -356.630679     ******   0.0000
     47  -356.630606     ******   0.0000
     48  -356.630471     ******   0.0000
     49  -356.630276     ******   0.0000
     50  -356.629551     ******   0.0000
     51  -356.629541     ******   0.0000
     52  -356.629277     ******   0.0000
     53  -356.629241     ******   0.0000
     54  -356.629130     ******   0.0000
     55  -356.629019     ******   0.0000
     56  -356.628975     ******   0.0000
     57  -356.628925     ******   0.0000
     58  -356.628758     ******   0.0000
     59  -356.628660     ******   0.0000
     60  -356.628639     ******   0.0000
     61  -356.628617     ******   0.0000
     62  -356.628477     ******   0.0000
     63  -356.628353     ******   0.0000
     64  -356.628191     ******   0.0000
     65  -356.627918     ******   0.0000
     66  -356.627801     ******   0.0000
     67  -356.627655     ******   0.0000
     68  -356.627425     ******   0.0000
     69  -356.627248     ******   0.0000
     70  -356.627008     ******   0.0000
     71  -356.627003     ******   0.0000
     72  -356.626877     ******   0.0000
     73  -356.626635     ******   0.0000
     74  -356.626341     ******   0.0000
     75  -356.626303     ******   0.0000
     76  -356.626126     ******   0.0000
     77  -356.626117     ******   0.0000
     78  -356.625996     ******   0.0000
     79  -356.625774     ******   0.0000
     80  -356.625735     ******   0.0000
     81  -356.625507     ******   0.0000
     82  -356.625321     ******   0.0000
     83  -356.624663     ******   0.0000
     84  -356.624491     ******   0.0000
     85  -356.624233     ******   0.0000
     86  -356.624165     ******   0.0000
     87  -356.623581     ******   0.0000
     88  -356.623577     ******   0.0000
     89  -356.623566     ******   0.0000
     90  -356.623358     ******   0.0000
     91  -356.623188     ******   0.0000
     92  -356.623051     ******   0.0000
     93  -356.622867     ******   0.0000
     94  -356.622840     ******   0.0000
     95  -356.622838     ******   0.0000
     96  -356.622755     ******   0.0000
     97  -356.622527     ******   0.0000
     98  -356.622499     ******   0.0000
     99  -356.622275     ******   0.0000
     100  -356.622265     ******   0.0000
     101  -356.622169     ******   0.0000
     102  -356.621961     ******   0.0000
     103  -356.621943     ******   0.0000
     104  -356.621939     ******   0.0000
     105  -356.621660     ******   0.0000
     106  -356.621018     ******   0.0000
     107  -356.620725     ******   0.0000
     108  -356.620451     ******   0.0000
     109  -356.620337     ******   0.0000
     110  -356.620250     ******   0.0000
     111  -356.620236     ******   0.0000
     112  -356.620118     ******   0.0000
     113  -356.620108     ******   0.0000
     114  -356.619830     ******   0.0000
     115  -356.619475     ******   0.0000
     116  -356.619147     ******   0.0000
     117  -356.619144     ******   0.0000
     118  -356.618984     ******   0.0000
     119  -356.618871     ******   0.0000
     120  -356.618409     ******   0.0000
     121  -356.618382     ******   0.0000
     122  -356.618103     ******   0.0000
     123  -356.617995     ******   0.0000
     124  -356.617991     ******   0.0000
     125  -356.617784     ******   0.0000
     126  -356.617781     ******   0.0000
     127  -356.617767     ******   0.0000
     128  -356.617484     ******   0.0000
     129  -356.617264     ******   0.0000
     130  -356.616834     ******   0.0000
     131  -356.616556     ******   0.0000
     132  -356.616282     ******   0.0000
     133  -356.616271     ******   0.0000
     134  -356.616215     ******   0.0000
     135  -356.616000     ******   0.0000
     136  -356.615026     ******   0.0000
     137  -356.614747     ******   0.0000
     138  -356.614337     ******   0.0000
     139  -356.614175     ******   0.0000
     140  -356.614021     ******   0.0000
     141  -356.613424     ******   0.0000
     142  -356.613225     ******   0.0000
     143  -356.612938     ******   0.0000
     144  -356.611919     ******   0.0000
     145  -356.611263     ******   0.0000
     146  -356.610674     ******   0.0000
     147  -356.610080     ******   0.0000
     148  -356.609494     ******   0.0000
     149  -356.608808     ******   0.0000
     150  -356.608546     ******   0.0000
     151  -356.607771     ******   0.0000
     152  -356.607384     ******   0.0000
     153  -356.607056     ******   0.0000
     154  -356.606974     ******   0.0000
     155  -356.605511     ******   0.0000
     156  -356.605224     ******   0.0000
     157  -356.604222     ******   0.0000
     158  -356.602542     ******   0.0000
