  cluster  E_norm [Eh]  De [kcal]    p
     1   ***********     0.0000   0.6815
     2   ***********     0.6709   0.2196
     3   ***********     1.1857   0.0921
     4   ***********     2.7552   0.0065
     5   ***********     5.3027   0.0001
     6   ***********     5.5112   0.0001
     7   ***********     5.7259   0.0000
     8   ***********     6.4685   0.0000
     9   ***********     8.2364   0.0000
     10  ***********     8.2404   0.0000
     11  ***********     9.8621   0.0000
     12  ***********     ******   0.0000
     13  ***********     ******   0.0000
     14  ***********     ******   0.0000
     15  ***********     ******   0.0000
     16  ***********     ******   0.0000
     17  ***********     ******   0.0000
     18  ***********     ******   0.0000
     19  ***********     ******   0.0000
     20  ***********     ******   0.0000
     21  ***********     ******   0.0000
     22  ***********     ******   0.0000
     23  ***********     ******   0.0000
     24  ***********     ******   0.0000
     25  ***********     ******   0.0000
     26  ***********     ******   0.0000
     27  ***********     ******   0.0000
     28  ***********     ******   0.0000
     29  ***********     ******   0.0000
     30  ***********     ******   0.0000
     31  ***********     ******   0.0000
     32  ***********     ******   0.0000
     33  ***********     ******   0.0000
     34  ***********     ******   0.0000
     35  ***********     ******   0.0000
     36  ***********     ******   0.0000
     37  ***********     ******   0.0000
     38  ***********     ******   0.0000
     39  ***********     ******   0.0000
     40  ***********     ******   0.0000
     41  ***********     ******   0.0000
     42  ***********     ******   0.0000
     43  ***********     ******   0.0000
     44  ***********     ******   0.0000
     45  ***********     ******   0.0000
     46  ***********     ******   0.0000
     47  ***********     ******   0.0000
     48  ***********     ******   0.0000
     49  ***********     ******   0.0000
     50  ***********     ******   0.0000
     51  ***********     ******   0.0000
     52  ***********     ******   0.0000
