  cluster  E_norm [Eh]  De [kcal]    p
     1   -305.428670     0.0000   0.4169
     2   -305.428595     0.0468   0.3852
     3   -305.427492     0.7389   0.1198
     4   -305.426672     1.2538   0.0502
     5   -305.425797     1.8028   0.0199
     6   -305.424336     2.7197   0.0042
     7   -305.423724     3.1037   0.0022
     8   -305.423245     3.4041   0.0013
     9   -305.420627     5.0473   0.0001
     10  -305.420525     5.1109   0.0001
     11  -305.420238     5.2908   0.0001
     12  -305.419025     6.0526   0.0000
     13  -305.417249     7.1671   0.0000
     14  -305.415542     8.2381   0.0000
     15  -305.414377     8.9689   0.0000
     16  -305.413413     9.5739   0.0000
     17  -305.412929     9.8775   0.0000
     18  -305.412425     ******   0.0000
     19  -305.411908     ******   0.0000
     20  -305.404145     ******   0.0000

Ensemble free energy [Eh]:     -305.4294960724
