  cluster  E_norm [Eh]  De [kcal]    p
     1   -473.358894     0.0000   1.0000
     2   -473.346892     7.5316   0.0000
     3   -473.345408     8.4625   0.0000
     4   -473.339566     ******   0.0000
     5   -473.339389     ******   0.0000
     6   -473.339243     ******   0.0000
     7   -473.337244     ******   0.0000
     8   -473.336939     ******   0.0000
     9   -473.336193     ******   0.0000
     10  -473.334550     ******   0.0000
     11  -473.333568     ******   0.0000
     12  -473.333211     ******   0.0000
     13  -473.333177     ******   0.0000
     14  -473.331909     ******   0.0000
     15  -473.331012     ******   0.0000
     16  -473.330992     ******   0.0000
     17  -473.330682     ******   0.0000
     18  -473.330590     ******   0.0000
     19  -473.330259     ******   0.0000
     20  -473.329737     ******   0.0000
     21  -473.328377     ******   0.0000
     22  -473.328295     ******   0.0000
     23  -473.326938     ******   0.0000
     24  -473.326304     ******   0.0000
     25  -473.325946     ******   0.0000
     26  -473.324664     ******   0.0000
     27  -473.324514     ******   0.0000
     28  -473.324185     ******   0.0000
     29  -473.323778     ******   0.0000
     30  -473.322793     ******   0.0000
     31  -473.322111     ******   0.0000
     32  -473.322094     ******   0.0000
     33  -473.322049     ******   0.0000
     34  -473.321401     ******   0.0000
     35  -473.321114     ******   0.0000
     36  -473.320780     ******   0.0000
     37  -473.319320     ******   0.0000
     38  -473.318171     ******   0.0000
     39  -473.316719     ******   0.0000
     40  -473.316495     ******   0.0000
     41  -473.316028     ******   0.0000
     42  -473.315585     ******   0.0000
     43  -473.315579     ******   0.0000
     44  -473.313367     ******   0.0000
     45  -473.313035     ******   0.0000
     46  -473.312707     ******   0.0000
     47  -473.312030     ******   0.0000
     48  -473.311703     ******   0.0000
     49  -473.311439     ******   0.0000
     50  -473.311178     ******   0.0000
     51  -473.300031     ******   0.0000
     52  -473.299064     ******   0.0000
