  cluster  E_norm [Eh]  De [kcal]    p
     1   -244.152536     0.0000   0.5925
     2   -244.152134     0.2522   0.3871
     3   -244.148736     2.3850   0.0106
     4   -244.148556     2.4977   0.0087
     5   -244.146079     4.0517   0.0006
     6   -244.145611     4.3455   0.0004
     7   -244.143343     5.7687   0.0000
     8   -244.142813     6.1013   0.0000
     9   -244.142134     6.5274   0.0000
     10  -244.142109     6.5430   0.0000
     11  -244.142073     6.5658   0.0000
     12  -244.141729     6.7819   0.0000
     13  -244.141120     7.1637   0.0000
     14  -244.141005     7.2361   0.0000
     15  -244.140683     7.4380   0.0000
     16  -244.140576     7.5053   0.0000
     17  -244.140327     7.6616   0.0000
     18  -244.140303     7.6762   0.0000
     19  -244.139961     7.8910   0.0000
     20  -244.139741     8.0291   0.0000

Ensemble free energy [Eh]:     -244.1530304746
