   #   Energy       Run. Aver.   Diff / au.
    1 -421.17265617  -0.67118128  -0.67118128
    2 -376.09240394  -0.97085194  -0.29967067
    3 -363.94209310  -0.94045105   0.03040090
    4 -370.26619643  -0.84525223   0.09519882
    5 -374.70015965  -0.77658655   0.06866568
    6 -375.97752421  -0.73557089   0.04101566
    7 -382.04468712  -0.71160522   0.02396566
    8 -383.75789223  -0.69610350   0.01550173
    9 -387.97784102  -0.68573425   0.01036925
   10 -387.14585542  -0.67781951   0.00791474
   11 -388.48965321  -0.67176163   0.00605788
   12 -387.95570746  -0.66679723   0.00496440
   13 -388.67121369  -0.66276841   0.00402882
   14 -386.38982449  -0.65912227   0.00364614
   15 -384.09864376  -0.65574438   0.00337789
   16 -383.18098639  -0.65271410   0.00303029
   17 -384.98939021  -0.65023029   0.00248381
   18 -385.66880332  -0.64811296   0.00211732
   19 -387.64582939  -0.64640363   0.00170934
   20 -390.14118642  -0.64508445   0.00131917
   21 -390.41868367  -0.64393055   0.00115390
   22 -392.05089533  -0.64300730   0.00092326
   23 -388.16218977  -0.64190491   0.00110238
   24 -389.04190509  -0.64094535   0.00095957
   25 -389.00571650  -0.64006595   0.00087940
   26 -388.83814168  -0.63924701   0.00081894
   27 -388.95389868  -0.63849781   0.00074920
   28 -388.86140828  -0.63779934   0.00069846
   29 -388.59085261  -0.63713593   0.00066341
   30 -388.92772518  -0.63653581   0.00060012
   31 -389.77720497  -0.63602012   0.00051569
   32 -390.85155995  -0.63559280   0.00042732
   33 -391.01394694  -0.63520189   0.00039090
   34 -390.96369654  -0.63483270   0.00036919
   35 -390.22175441  -0.63445144   0.00038126
   36 -389.06950591  -0.63404003   0.00041142
   37 -390.95946229  -0.63373143   0.00030859
   38 -390.13153987  -0.63340707   0.00032437
   39 -390.18617130  -0.63310116   0.00030590
   40 -388.94312283  -0.63276149   0.00033967
   41 -388.30775315  -0.63241287   0.00034862
   42 -388.26306576  -0.63207894   0.00033393
   43 -386.37665945  -0.63169098   0.00038797
   44 -385.77797104  -0.63129774   0.00039324
   45 -386.19034902  -0.63093646   0.00036128
