   #   Energy       Run. Aver.   Diff / au.
    1 -440.11908186  -0.70137433  -0.70137433
    2 *************  -5.80007512  -5.09870079
    3 -389.63292243  -5.77325685   0.02681827
    4 -385.24321190  -4.47671909   1.29653776
    5 -386.58267286  -3.44527945   1.03143964
    6 -388.95450962  -2.80246600   0.64281345
    7 -389.63112543  -2.39898560   0.40348040
    8 -388.68953382  -2.12610437   0.27288123
    9 -393.11894475  -1.92915873   0.19694564
   10 -389.94948986  -1.77869069   0.15046804
   11 -388.88580403  -1.65965162   0.11903907
   12 -381.90801679  -1.56214482   0.09750680
   13 -382.31476537  -1.48134525   0.08079956
   14 -382.60250322  -1.41331461   0.06803064
   15 -381.17308086  -1.35505412   0.05826049
   16 -384.85882085  -1.30505393   0.05000019
   17 -382.76325798  -1.26122557   0.04382836
   18 -384.78166731  -1.22278860   0.03843697
   19 -389.43442436  -1.18907164   0.03371697
   20 -388.00078298  -1.15884813   0.03022350
   21 -389.01624496  -1.13174647   0.02710166
   22 -390.72340602  -1.10737416   0.02437231
   23 -389.93688646  -1.08518536   0.02218881
   24 -389.36323257  -1.06489851   0.02028685
   25 -389.16698782  -1.04629817   0.01860033
   26 -389.00884593  -1.02918381   0.01711437
   27 -389.66459833  -1.01343091   0.01575290
   28 -388.48017203  -0.99878443   0.01464648
   29 -389.39668349  -0.98523658   0.01354786
   30 -389.22946720  -0.97261965   0.01261693
   31 -389.16603670  -0.96084348   0.01177616
   32 -391.11304324  -0.94992657   0.01091692
   33 -391.09698754  -0.93969654   0.01023003
   34 -390.18530957  -0.93004575   0.00965079
   35 -389.44495846  -0.92092928   0.00911647
   36 -389.10159806  -0.91231892   0.00861036
   37 -388.76456421  -0.90417315   0.00814577
   38 -388.63036751  -0.89646270   0.00771045
   39 -388.09051735  -0.88913676   0.00732594
   40 -388.23173326  -0.88219236   0.00694440
   41 -387.69597323  -0.87557519   0.00661717
   42 -387.64678986  -0.86927905   0.00629614
   43 -385.90708120  -0.86321874   0.00606031
   44 -387.84178255  -0.85750933   0.00570941
   45 -387.37399307  -0.85204491   0.00546442
   46 -389.14510334  -0.84688475   0.00516016
   47 -389.91267538  -0.84197668   0.00490808
   48 -389.79949319  -0.83727460   0.00470208
   49 -390.85268134  -0.83280290   0.00447170
   50 -391.02307446  -0.82852010   0.00428279
   51 -391.11090571  -0.82441171   0.00410839
   52 -391.65077684  -0.82048123   0.00393048
   53 -391.23027377  -0.81668978   0.00379145
   54 -389.83936788  -0.81300029   0.00368949
   55 -389.54775471  -0.80943836   0.00356193
   56 -389.31676656  -0.80599935   0.00343901
   57 -389.11741117  -0.80267759   0.00332176
   58 -387.92981534  -0.79943976   0.00323783
   59 -387.99341880  -0.79631484   0.00312493
   60 -387.67947425  -0.79328761   0.00302722
   61 -388.65065147  -0.79038662   0.00290099
   62 -388.64776765  -0.78758117   0.00280545
   63 -388.29390228  -0.78485734   0.00272382
   64 -388.57891845  -0.78222701   0.00263033
   65 -389.21857315  -0.77969473   0.00253228
   66 -388.30687049  -0.77721866   0.00247607
   67 -389.52073212  -0.77484621   0.00237245
   68 -389.20803212  -0.77253774   0.00230847
   69 -390.65767819  -0.77033058   0.00220715
   70 -390.28867843  -0.76817954   0.00215105
   71 -390.31622404  -0.76609049   0.00208904
   72 -389.99409901  -0.76405321   0.00203728
   73 -392.53049554  -0.76212782   0.00192539
   74 -393.11543175  -0.76026858   0.00185924
   75 -393.39592754  -0.75846576   0.00180282
   76 -393.57709848  -0.75671492   0.00175084
   77 -391.15421731  -0.75496009   0.00175483
   78 -391.01903245  -0.75324744   0.00171265
   79 -391.19620714  -0.75158226   0.00166518
   80 -391.66182503  -0.74996858   0.00161368
   81 -388.34440876  -0.74833011   0.00163847
   82 -388.50294127  -0.74673438   0.00159573
   83 -388.19628487  -0.74517173   0.00156265
   84 -388.86404155  -0.74365934   0.00151238
   85 -389.36434501  -0.74219252   0.00146683
   86 -390.20566229  -0.74077592   0.00141659
   87 -390.07507332  -0.73939008   0.00138584
   88 -392.63609888  -0.73808246   0.00130762
   89 -392.03151176  -0.73679428   0.00128818
   90 -391.60296252  -0.73552735   0.00126693
   91 -391.54322009  -0.73428746   0.00123990
   92 -392.03285542  -0.73308329   0.00120417
   93 -392.20468529  -0.73190835   0.00117494
   94 -392.96629869  -0.73077163   0.00113672
   95 -393.17961090  -0.72966282   0.00110881
   96 -393.07864387  -0.72857573   0.00108709
   97 -393.44723719  -0.72751733   0.00105840
   98 -398.17155087  -0.72655764   0.00095968
   99 -398.79758196  -0.72562842   0.00092922
  100 -397.66991403  -0.72470012   0.00092830
  101 -397.61368623  -0.72378932   0.00091080
  102 -398.36411565  -0.72290827   0.00088104
  103 -398.30860529  -0.72204376   0.00086451
  104 -397.99821849  -0.72119129   0.00085248
  105 -398.24098881  -0.72035884   0.00083244
  106 -398.25275971  -0.71954247   0.00081637
  107 -398.43719832  -0.71874426   0.00079821
  108 -397.37510422  -0.71794533   0.00079894
  109 -397.30431334  -0.71716001   0.00078532
  110 -397.43910988  -0.71639105   0.00076896
  111 -397.77703578  -0.71564094   0.00075011
  112 -398.32153199  -0.71491214   0.00072880
  113 -398.70010725  -0.71420177   0.00071037
  114 -399.16986698  -0.71351059   0.00069118
  115 -399.30387237  -0.71283345   0.00067714
  116 -398.99865978  -0.71216392   0.00066953
  117 -397.86063247  -0.71149040   0.00067352
  118 -398.24290957  -0.71083342   0.00065698
  119 -398.53937423  -0.71019159   0.00064183
  120 -398.34914078  -0.70955806   0.00063353
  121 -398.12024290  -0.70893205   0.00062601
  122 -398.06469533  -0.70831565   0.00061641
  123 -397.69892473  -0.70770460   0.00061105
  124 -397.93633761  -0.70710651   0.00059810
  125 -398.20955346  -0.70652157   0.00058494
  126 -398.22461383  -0.70594621   0.00057536
  127 -398.28234877  -0.70538071   0.00056550
  128 -398.03744045  -0.70482107   0.00055963
  129 -398.27141931  -0.70427305   0.00054802
