  cluster  E_norm [Eh]  De [kcal]    p
     1   -458.230620     0.0000   0.9884
     2   -458.226243     2.7468   0.0096
     3   -458.224418     3.8919   0.0014
     4   -458.223691     4.3481   0.0006
     5   -458.218893     7.3589   0.0000
     6   -458.218584     7.5530   0.0000
     7   -458.217472     8.2511   0.0000
     8   -458.216362     8.9475   0.0000
     9   -458.215539     9.4640   0.0000
     10  -458.214749     9.9597   0.0000
     11  -458.213652     ******   0.0000
     12  -458.213493     ******   0.0000
     13  -458.213451     ******   0.0000
     14  -458.213329     ******   0.0000
     15  -458.212505     ******   0.0000
     16  -458.209163     ******   0.0000
     17  -458.209121     ******   0.0000
     18  -458.204902     ******   0.0000
     19  -458.201165     ******   0.0000
     20  -458.195845     ******   0.0000

Ensemble free energy [Eh]:     -458.2306315350
