  cluster  E_norm [Eh]  De [kcal]    p
     1   -473.352486     0.0000   0.9635
     2   -473.349095     2.1276   0.0266
     3   -473.347747     2.9737   0.0064
     4   -473.346781     3.5799   0.0023
     5   -473.345690     4.2647   0.0007
     6   -473.344961     4.7216   0.0003
     7   -473.343991     5.3308   0.0001
     8   -473.343250     5.7959   0.0001
     9   -473.342394     6.3324   0.0000
     10  -473.342209     6.4489   0.0000
     11  -473.342064     6.5396   0.0000
     12  -473.341210     7.0758   0.0000
     13  -473.339821     7.9470   0.0000
     14  -473.337932     9.1329   0.0000
     15  -473.337891     9.1582   0.0000
     16  -473.337880     9.1656   0.0000
     17  -473.337830     9.1968   0.0000
     18  -473.336370     ******   0.0000
     19  -473.335934     ******   0.0000
     20  -473.335167     ******   0.0000

Ensemble free energy [Eh]:     -473.3525209583
