  cluster  E_norm [Eh]  De [kcal]    p
     1   -142.308566     0.0000   0.9950
     2   -142.302512     3.7986   0.0016
     3   -142.302312     3.9243   0.0013
     4   -142.301905     4.1796   0.0009
     5   -142.301099     4.6856   0.0004
     6   -142.300777     4.8879   0.0003
     7   -142.300556     5.0264   0.0002
     8   -142.299926     5.4218   0.0001
     9   -142.299494     5.6928   0.0001
     10  -142.299214     5.8686   0.0000
     11  -142.298570     6.2726   0.0000
     12  -142.298274     6.4582   0.0000
     13  -142.298137     6.5444   0.0000
     14  -142.297869     6.7126   0.0000
     15  -142.297830     6.7369   0.0000
     16  -142.297755     6.7841   0.0000
     17  -142.297667     6.8390   0.0000
     18  -142.297192     7.1373   0.0000
     19  -142.296121     7.8090   0.0000
     20  -142.296096     7.8251   0.0000
     21  -142.296091     7.8281   0.0000
     22  -142.295949     7.9170   0.0000
     23  -142.295860     7.9729   0.0000
     24  -142.295826     7.9942   0.0000
     25  -142.295730     8.0547   0.0000
     26  -142.295039     8.4882   0.0000
     27  -142.294953     8.5420   0.0000
     28  -142.294938     8.5516   0.0000
     29  -142.294736     8.6787   0.0000
     30  -142.294723     8.6864   0.0000
     31  -142.294689     8.7082   0.0000
     32  -142.294625     8.7479   0.0000
     33  -142.294444     8.8614   0.0000
     34  -142.294153     9.0443   0.0000
     35  -142.294040     9.1152   0.0000
     36  -142.293985     9.1495   0.0000
     37  -142.293906     9.1991   0.0000
     38  -142.293817     9.2553   0.0000
     39  -142.293761     9.2901   0.0000
     40  -142.293721     9.3154   0.0000
     41  -142.293541     9.4283   0.0000
     42  -142.293530     9.4352   0.0000
     43  -142.293481     9.4661   0.0000
     44  -142.293277     9.5941   0.0000
     45  -142.292900     9.8308   0.0000
     46  -142.292760     9.9185   0.0000
     47  -142.292711     9.9492   0.0000
     48  -142.292617     ******   0.0000
     49  -142.292456     ******   0.0000
     50  -142.292397     ******   0.0000
     51  -142.292256     ******   0.0000
     52  -142.292131     ******   0.0000
     53  -142.292098     ******   0.0000
     54  -142.291660     ******   0.0000
     55  -142.291637     ******   0.0000
     56  -142.291483     ******   0.0000
     57  -142.291471     ******   0.0000
     58  -142.291318     ******   0.0000
     59  -142.290912     ******   0.0000
     60  -142.290794     ******   0.0000
     61  -142.290778     ******   0.0000
     62  -142.290721     ******   0.0000
     63  -142.290450     ******   0.0000
     64  -142.290427     ******   0.0000
     65  -142.290300     ******   0.0000
     66  -142.290177     ******   0.0000
     67  -142.290076     ******   0.0000
     68  -142.289891     ******   0.0000
     69  -142.289883     ******   0.0000
     70  -142.289818     ******   0.0000
     71  -142.289671     ******   0.0000
     72  -142.289549     ******   0.0000
     73  -142.289329     ******   0.0000
     74  -142.289250     ******   0.0000
     75  -142.289247     ******   0.0000
     76  -142.288974     ******   0.0000
     77  -142.288957     ******   0.0000
     78  -142.288931     ******   0.0000
     79  -142.288559     ******   0.0000
     80  -142.288331     ******   0.0000
     81  -142.288132     ******   0.0000
     82  -142.287562     ******   0.0000
     83  -142.287261     ******   0.0000
     84  -142.286833     ******   0.0000
     85  -142.286603     ******   0.0000
     86  -142.286414     ******   0.0000
     87  -142.286093     ******   0.0000
     88  -142.286041     ******   0.0000
     89  -142.285763     ******   0.0000
     90  -142.284892     ******   0.0000
     91  -142.284569     ******   0.0000
     92  -142.284372     ******   0.0000
     93  -142.283734     ******   0.0000
     94  -142.283579     ******   0.0000
     95  -142.282933     ******   0.0000
     96  -142.282529     ******   0.0000
     97  -142.282225     ******   0.0000
     98  -142.281809     ******   0.0000
     99  -142.280982     ******   0.0000
     100  -142.280433     ******   0.0000
     101  -142.278768     ******   0.0000
     102  -142.273973     ******   0.0000
