   #   Energy       Run. Aver.   Diff / au.
    1 -423.15329938  -0.67433763  -0.67433763
    2 -379.60428788  -0.97680657  -0.30246894
    3 -369.30078968  -0.94820010   0.02860648
    4 -367.98009015  -0.85060184   0.09759826
    5 -375.87733513  -0.78076154   0.06984030
    6 -376.77317231  -0.73906560   0.04169594
    7 -382.53071936  -0.71461416   0.02445144
    8 -385.52364762  -0.69902733   0.01558683
    9 -380.71001405  -0.68703686   0.01199047
   10 -379.21471632  -0.67756583   0.00947103
   11 -380.40080909  -0.67021768   0.00734815
   12 -381.35188768  -0.66439744   0.00582025
   13 -382.02198461  -0.65967228   0.00472515
   14 -383.49460978  -0.65586800   0.00380428
   15 -381.56981910  -0.65242786   0.00344014
   16 -387.37639116  -0.65001883   0.00240903
   17 -387.23125908  -0.64794026   0.00207857
   18 -389.33233118  -0.64629702   0.00164324
   19 -392.27951224  -0.64509686   0.00120017
   20 -393.51544064  -0.64413734   0.00095952
   21 -394.20011953  -0.64333262   0.00080472
   22 -395.05383948  -0.64266994   0.00066268
   23 -395.89357379  -0.64212924   0.00054070
   24 -394.46671541  -0.64154394   0.00058530
   25 -393.35643334  -0.64093290   0.00061104
   26 -392.21297784  -0.64029779   0.00063511
   27 -393.88815193  -0.63980771   0.00049008
   28 -393.80722418  -0.63935320   0.00045450
   29 -388.76511883  -0.63865420   0.00069900
   30 -388.81997355  -0.63799656   0.00065764
   31 -388.58473508  -0.63737059   0.00062597
   32 -388.95039140  -0.63680294   0.00056765
   33 -390.17840998  -0.63633077   0.00047218
   34 -390.39717118  -0.63589943   0.00043134
   35 -389.64594693  -0.63545970   0.00043973
