  cluster  E_norm [Eh]  De [kcal]    p
     1   -320.540836     0.0000   0.6815
     2   -320.539885     0.5966   0.2489
     3   -320.537640     2.0059   0.0231
     4   -320.537168     2.3015   0.0140
     5   -320.536993     2.4114   0.0116
     6   -320.536588     2.6656   0.0076
     7   -320.536404     2.7810   0.0062
     8   -320.535206     3.5332   0.0018
     9   -320.534773     3.8049   0.0011
     10  -320.534435     4.0169   0.0008
     11  -320.534392     4.0435   0.0007
     12  -320.534091     4.2329   0.0005
     13  -320.534081     4.2389   0.0005
     14  -320.533831     4.3955   0.0004
     15  -320.533781     4.4271   0.0004
     16  -320.533553     4.5703   0.0003
     17  -320.533287     4.7369   0.0002
     18  -320.532628     5.1505   0.0001
     19  -320.532251     5.3873   0.0001
     20  -320.532245     5.3913   0.0001

Ensemble free energy [Eh]:     -320.5411982755
