   #   Energy       Run. Aver.   Diff / au.
    1 -440.58584655  -0.70211816  -0.70211816
    2 -397.18721466  -1.01859719  -0.31647902
    3 -390.81707632  -0.99216000   0.02643719
    4 -386.08585769  -0.89132743   0.10083257
    5 -384.20374554  -0.81534894   0.07597848
    6 -387.28164237  -0.76965646   0.04569249
    7 -391.63523541  -0.74233667   0.02731979
    8 -390.13602791  -0.72384477   0.01849190
    9 -390.35643301  -0.71048208   0.01336268
   10 -388.40993439  -0.69999466   0.01048742
   11 -386.95452025  -0.69146458   0.00853008
   12 -389.51518759  -0.68485935   0.00660523
   13 -382.11391800  -0.67851110   0.00634826
   14 -382.37752467  -0.67311809   0.00539300
   15 -381.19025859  -0.66838170   0.00473639
   16 -380.66181795  -0.66422577   0.00415593
   17 -387.17785509  -0.66120374   0.00302203
   18 -388.77203224  -0.65872162   0.00248212
   19 -392.12776451  -0.65681065   0.00191097
   20 -392.55703052  -0.65515353   0.00165711
   21 -390.82826369  -0.65353514   0.00161839
   22 -390.44182165  -0.65203764   0.00149750
   23 -395.16081758  -0.65100259   0.00103506
   24 -393.26548752  -0.64994720   0.00105539
   25 -392.08554609  -0.64890022   0.00104698
