  cluster  E_norm [Eh]  De [kcal]    p
     1   -218.694089     0.0000   0.9995
     2   -218.686727     4.6197   0.0004
     3   -218.685040     5.6781   0.0001
     4   -218.681905     7.6454   0.0000
     5   -218.681228     8.0704   0.0000
     6   -218.681109     8.1451   0.0000
     7   -218.680833     8.3180   0.0000
     8   -218.680150     8.7465   0.0000
     9   -218.678876     9.5465   0.0000
     10  -218.677597     ******   0.0000
     11  -218.677319     ******   0.0000
     12  -218.676901     ******   0.0000
     13  -218.676404     ******   0.0000
     14  -218.676092     ******   0.0000
     15  -218.676073     ******   0.0000
     16  -218.675890     ******   0.0000
     17  -218.675295     ******   0.0000
     18  -218.675274     ******   0.0000
     19  -218.675136     ******   0.0000
     20  -218.674706     ******   0.0000
     21  -218.674016     ******   0.0000
     22  -218.673386     ******   0.0000
     23  -218.673094     ******   0.0000
     24  -218.672495     ******   0.0000
     25  -218.672151     ******   0.0000
     26  -218.672104     ******   0.0000
     27  -218.671480     ******   0.0000
     28  -218.671457     ******   0.0000
     29  -218.671100     ******   0.0000
     30  -218.671065     ******   0.0000
     31  -218.670754     ******   0.0000
     32  -218.670631     ******   0.0000
     33  -218.670263     ******   0.0000
     34  -218.670136     ******   0.0000
     35  -218.670034     ******   0.0000
     36  -218.669881     ******   0.0000
     37  -218.669560     ******   0.0000
     38  -218.669449     ******   0.0000
     39  -218.668877     ******   0.0000
     40  -218.668002     ******   0.0000
     41  -218.667719     ******   0.0000
     42  -218.667621     ******   0.0000
     43  -218.667556     ******   0.0000
     44  -218.667300     ******   0.0000
     45  -218.666956     ******   0.0000
     46  -218.666751     ******   0.0000
     47  -218.666569     ******   0.0000
     48  -218.665438     ******   0.0000
     49  -218.665348     ******   0.0000
     50  -218.663208     ******   0.0000
     51  -218.662520     ******   0.0000
     52  -218.661598     ******   0.0000
     53  -218.661277     ******   0.0000
     54  -218.661077     ******   0.0000
     55  -218.660187     ******   0.0000
