  cluster  E_norm [Eh]  De [kcal]    p
     1   -305.426598     0.0000   0.5700
     2   -305.426183     0.2605   0.3672
     3   -305.424264     1.4647   0.0481
     4   -305.422991     2.2635   0.0125
     5   -305.421217     3.3768   0.0019
     6   -305.418893     4.8348   0.0002
     7   -305.418614     5.0103   0.0001
     8   -305.417638     5.6227   0.0000
     9   -305.417368     5.7918   0.0000
     10  -305.416904     6.0833   0.0000
     11  -305.415699     6.8395   0.0000
     12  -305.414808     7.3980   0.0000
     13  -305.411511     9.4673   0.0000
     14  -305.411267     9.6201   0.0000
     15  -305.411161     9.6871   0.0000
     16  -305.411159     9.6884   0.0000
     17  -305.410193     ******   0.0000
     18  -305.409940     ******   0.0000
     19  -305.402386     ******   0.0000
     20  -305.397798     ******   0.0000

Ensemble free energy [Eh]:     -305.4271287602
